segment,distance_A_minus1,q1,q2,q3,f1_cm_minus1,f2_cm_minus1,f3_cm_minus1
1.000000000000000000e+00,2.843732859607338015e-01,5.000000000000000000e-01,6.250000000000000000e-02,5.625000000000000000e-01,2.098957567536860154e+02,2.156642644877641715e+02,3.257305065888139666e+02
1.000000000000000000e+00,2.875329891380752900e-01,5.000000000000000000e-01,6.875000000000000555e-02,5.687499999999999778e-01,2.099714020884705690e+02,2.169108699784593455e+02,3.249994374894098996e+02
1.000000000000000000e+00,2.906926923154167786e-01,5.000000000000000000e-01,7.500000000000001110e-02,5.749999999999999556e-01,2.100522704059441708e+02,2.182588837546477691e+02,3.242004823574567354e+02
1.000000000000000000e+00,2.938523954927582671e-01,5.000000000000000000e-01,8.125000000000000278e-02,5.812500000000000444e-01,2.101378573956921514e+02,2.197040233750028051e+02,3.233341318632930097e+02
1.000000000000000000e+00,2.970120986700997556e-01,5.000000000000000000e-01,8.750000000000000833e-02,5.875000000000000222e-01,2.102276299557413495e+02,2.212418043210075211e+02,3.224009263442798670e+02
1.000000000000000000e+00,3.001718018474412442e-01,5.000000000000000000e-01,9.375000000000000000e-02,5.937500000000000000e-01,2.103210296134044768e+02,2.228675718716194751e+02,3.214014575209363898e+02
1.000000000000000000e+00,3.033315050247827327e-01,5.000000000000000000e-01,1.000000000000000056e-01,5.999999999999999778e-01,2.104174760913107605e+02,2.245765322152194585e+02,3.203363703370408757e+02
1.000000000000000000e+00,3.064912082021242212e-01,5.000000000000000000e-01,1.062500000000000111e-01,6.062499999999999556e-01,2.105163709936200860e+02,2.263637824387998592e+02,3.192063649207128151e+02
1.000000000000000000e+00,3.096509113794657098e-01,5.000000000000000000e-01,1.125000000000000028e-01,6.125000000000000444e-01,2.106171015870579311e+02,2.282243390974423107e+02,3.180121986632753988e+02
1.000000000000000000e+00,3.128106145568071983e-01,5.000000000000000000e-01,1.187500000000000083e-01,6.187500000000000222e-01,2.107190446512680353e+02,2.301531651301902457e+02,3.167546884124845974e+02
1.000000000000000000e+00,3.159703177341486868e-01,5.000000000000000000e-01,1.250000000000000000e-01,6.250000000000000000e-01,2.108215703730392931e+02,2.321451949491551545e+02,3.154347127764731340e+02
1.000000000000000000e+00,3.191300209114901754e-01,5.000000000000000000e-01,1.312500000000000056e-01,6.312499999999999778e-01,2.109240462592295842e+02,2.341953575853374048e+02,3.140532145345049457e+02
1.000000000000000000e+00,3.222897240888316639e-01,5.000000000000000000e-01,1.375000000000000111e-01,6.374999999999999556e-01,2.110258410436399856e+02,2.362985978259001456e+02,3.126112031503564026e+02
1.000000000000000000e+00,3.254494272661731524e-01,5.000000000000000000e-01,1.437500000000000167e-01,6.437500000000000444e-01,2.111263285636948410e+02,2.384498953226819822e+02,3.111097573838228527e+02
1.000000000000000000e+00,3.286091304435146410e-01,5.000000000000000000e-01,1.500000000000000222e-01,6.500000000000000222e-01,2.112248915835238563e+02,2.406442816901744379e+02,3.095500279954944176e+02
1.000000000000000000e+00,3.317688336208561295e-01,5.000000000000000000e-01,1.562500000000000000e-01,6.562500000000000000e-01,2.113209255409084619e+02,2.428768556429576222e+02,3.079332405395216483e+02
1.000000000000000000e+00,3.349285367981976180e-01,5.000000000000000000e-01,1.625000000000000056e-01,6.624999999999999778e-01,2.114138421965331815e+02,2.451427962479068583e+02,3.062606982386200798e+02
1.000000000000000000e+00,3.380882399755391066e-01,5.000000000000000000e-01,1.687500000000000111e-01,6.687499999999999556e-01,2.115030731650405471e+02,2.474373743857853185e+02,3.045337849349891712e+02
1.000000000000000000e+00,3.412479431528805951e-01,5.000000000000000000e-01,1.750000000000000167e-01,6.750000000000000444e-01,2.115880733085321879e+02,2.497559625306882651e+02,3.027539681101665110e+02
1.000000000000000000e+00,3.444076463302220836e-01,5.000000000000000000e-01,1.812500000000000222e-01,6.812500000000000222e-01,2.116683239743503577e+02,2.520940429648573229e+02,3.009228019660564541e+02
1.000000000000000000e+00,3.475673495075635722e-01,5.000000000000000000e-01,1.875000000000000000e-01,6.875000000000000000e-01,2.117433360602080370e+02,2.544472145513247767e+02,2.990419305584639460e+02
1.000000000000000000e+00,3.507270526849050607e-01,5.000000000000000000e-01,1.937500000000000056e-01,6.937499999999999778e-01,2.118126528910105719e+02,2.568111981883600947e+02,2.971130909733917633e+02
1.000000000000000000e+00,3.538867558622465492e-01,5.000000000000000000e-01,2.000000000000000111e-01,6.999999999999999556e-01,2.118758528929900251e+02,2.591818410684288096e+02,2.951381165351101572e+02
1.000000000000000000e+00,3.570464590395880378e-01,5.000000000000000000e-01,2.062500000000000167e-01,7.062500000000000444e-01,2.119325520520722250e+02,2.615551198609304038e+02,2.931189400335495634e+02
1.000000000000000000e+00,3.602061622169295263e-01,5.000000000000000000e-01,2.125000000000000222e-01,7.125000000000000222e-01,2.119824061446900885e+02,2.639271429329049283e+02,2.910575969568691335e+02
1.000000000000000000e+00,3.633658653942710148e-01,5.000000000000000000e-01,2.187500000000000000e-01,7.187500000000000000e-01,2.120251127305490684e+02,2.662941517156478426e+02,2.889562287130981417e+02
1.000000000000000000e+00,3.665255685716125034e-01,5.000000000000000000e-01,2.250000000000000056e-01,7.249999999999999778e-01,2.120604128981294707e+02,2.686525213181492404e+02,2.868170858224807489e+02
1.000000000000000000e+00,3.696852717489539919e-01,5.000000000000000000e-01,2.312500000000000111e-01,7.312499999999999556e-01,2.120880927549797832e+02,2.709987604808168840e+02,2.846425310595718656e+02
1.000000000000000000e+00,3.728449749262954804e-01,5.000000000000000000e-01,2.375000000000000167e-01,7.375000000000000444e-01,2.121079846561100908e+02,2.733295109553063185e+02,2.824350425211699189e+02
1.000000000000000000e+00,3.760046781036369690e-01,5.000000000000000000e-01,2.437500000000000222e-01,7.437500000000000222e-01,2.121199681650338675e+02,2.756415463886984867e+02,2.801972165928234517e+02
1.000000000000000000e+00,3.791643812809784575e-01,5.000000000000000000e-01,2.500000000000000000e-01,7.500000000000000000e-01,2.121239707432319790e+02,2.779317707828664652e+02,2.779317707828665789e+02
2.000000000000000000e+00,3.791643812809784575e-01,5.000000000000000000e-01,2.500000000000000000e-01,7.500000000000000000e-01,2.121239707432319790e+02,2.779317707828664652e+02,2.779317707828665789e+02
2.000000000000000000e+00,3.836328763674481390e-01,5.000000000000000000e-01,2.562499999999999778e-01,7.437500000000000222e-01,2.119586617941166935e+02,2.777816665078817664e+02,2.780902392288558076e+02
2.000000000000000000e+00,3.881013714539178205e-01,5.000000000000000000e-01,2.625000000000000111e-01,7.375000000000000444e-01,2.114683579848491206e+02,2.773317934191236986e+02,2.785600471761832182e+02
2.000000000000000000e+00,3.925698665403875576e-01,5.000000000000000000e-01,2.687499999999999889e-01,7.312499999999999556e-01,2.106691440085732552e+02,2.765834721422252187e+02,2.793251870165656214e+02
2.000000000000000000e+00,3.970383616268572391e-01,5.000000000000000000e-01,2.750000000000000222e-01,7.249999999999999778e-01,2.095854627536198791e+02,2.755389084727174236e+02,2.803613448077791759e+02
2.000000000000000000e+00,4.015068567133269206e-01,5.000000000000000000e-01,2.812500000000000000e-01,7.187500000000000000e-01,2.082473080309861757e+02,2.742012006081344566e+02,2.816387082397745871e+02
2.000000000000000000e+00,4.059753517997966021e-01,5.000000000000000000e-01,2.874999999999999778e-01,7.125000000000000222e-01,2.066873961787518965e+02,2.725743494796209916e+02,2.831247959743161573e+02
2.000000000000000000e+00,4.104438468862662837e-01,5.000000000000000000e-01,2.937500000000000111e-01,7.062500000000000444e-01,2.049388109851333013e+02,2.706632723916286523e+02,2.847868138891001308e+02
2.000000000000000000e+00,4.149123419727360207e-01,5.000000000000000000e-01,2.999999999999999889e-01,6.999999999999999556e-01,2.030333365371739660e+02,2.684738202402670595e+02,2.865933235837282496e+02
2.000000000000000000e+00,4.193808370592057022e-01,5.000000000000000000e-01,3.062500000000000222e-01,6.937499999999999778e-01,2.010004642077695678e+02,2.660127986439716778e+02,2.885152368906125275e+02
2.000000000000000000e+00,4.238493321456753837e-01,5.000000000000000000e-01,3.125000000000000000e-01,6.875000000000000000e-01,1.988669376100691295e+02,2.632879933837181170e+02,2.905262725086295177e+02
