q_index,mode,sigma_Ry,star_weight,weight,frequency_THz,lambda_mode,gamma_GHz
5,2,0.025,24,0.375,6.938020282913498,0.0916,11.13
5,3,0.025,24,0.375,9.168438409834893,0.1987,42.16
5,1,0.03,24,0.375,5.584990531951615,0.0975,7.68
5,2,0.03,24,0.375,6.938020282913498,0.0921,11.19
5,3,0.03,24,0.375,9.168438409834893,0.2018,42.82
5,1,0.035,24,0.375,5.584990531951615,0.0961,7.58
5,2,0.035,24,0.375,6.938020282913498,0.0923,11.23
5,3,0.035,24,0.375,9.168438409834893,0.2026,43.02
5,1,0.04,24,0.375,5.584990531951615,0.095,7.49
5,2,0.04,24,0.375,6.938020282913498,0.0925,11.26
5,3,0.04,24,0.375,9.168438409834893,0.2026,43.07
5,1,0.045,24,0.375,5.584990531951615,0.094,7.42
5,2,0.045,24,0.375,6.938020282913498,0.0927,11.29
5,3,0.045,24,0.375,9.168438409834893,0.2025,43.08
5,1,0.05,24,0.375,5.584990531951615,0.0931,7.36
5,2,0.05,24,0.375,6.938020282913498,0.0929,11.33
5,3,0.05,24,0.375,9.168438409834893,0.2023,43.08
6,1,0.005,12,0.1875,4.969644274301181,0.0172,1.02
6,2,0.005,12,0.1875,6.818465163647396,0.1739,19.45
6,3,0.005,12,0.1875,8.563334445268287,0.3875,68.33
6,1,0.01,12,0.1875,4.969644274301181,0.0164,1.01
6,2,0.01,12,0.1875,6.818465163647396,0.1063,12.39
6,3,0.01,12,0.1875,8.563334445268287,0.3,55.14
6,1,0.015,12,0.1875,4.969644274301181,0.0199,1.24
6,2,0.015,12,0.1875,6.818465163647396,0.1131,13.29
6,3,0.015,12,0.1875,8.563334445268287,0.2607,48.33
6,1,0.02,12,0.1875,4.969644274301181,0.0239,1.49
6,2,0.02,12,0.1875,6.818465163647396,0.1166,13.7
6,3,0.02,12,0.1875,8.563334445268287,0.2378,44.07
6,1,0.025,12,0.1875,4.969644274301181,0.027,1.69
6,2,0.025,12,0.1875,6.818465163647396,0.1185,13.9
6,3,0.025,12,0.1875,8.563334445268287,0.2215,41.01
6,1,0.03,12,0.1875,4.969644274301181,0.0292,1.82
6,2,0.03,12,0.1875,6.818465163647396,0.12,14.09
6,3,0.03,12,0.1875,8.563334445268287,0.2103,38.94
6,1,0.035,12,0.1875,4.969644274301181,0.0307,1.91
6,2,0.035,12,0.1875,6.818465163647396,0.1215,14.27
6,3,0.035,12,0.1875,8.563334445268287,0.2032,37.64
6,1,0.04,12,0.1875,4.969644274301181,0.0318,1.99
6,2,0.04,12,0.1875,6.818465163647396,0.1227,14.43
6,3,0.04,12,0.1875,8.563334445268287,0.1986,36.83
6,1,0.045,12,0.1875,4.969644274301181,0.0327,2.04
6,2,0.045,12,0.1875,6.818465163647396,0.1237,14.56
6,3,0.045,12,0.1875,8.563334445268287,0.1956,36.31
6,1,0.05,12,0.1875,4.969644274301181,0.0334,2.09
6,2,0.05,12,0.1875,6.818465163647396,0.1246,14.68
