k_index,kx_crystal,ky_crystal,kz_crystal,distance_inv_angstrom,band_rank,QE_eV,Wannier_eV,QE_minus_EF_eV,Wannier_minus_EF_eV,error_eV
106,0.257143,0.257143,0.257143,4.1734941,2,11.623540938586656,11.63075,3.2113409385866554,3.2185500000000005,0.007209061413345097
106,0.257143,0.257143,0.257143,4.1734941,3,19.520663038231177,19.567477,11.108463038231177,11.155277,0.04681396176882302
106,0.257143,0.257143,0.257143,4.1734941,4,19.5206630382312,20.36025,11.108463038231198,11.94805,0.8395869617688021
107,0.242857,0.242857,0.242857,4.2127929,1,-1.4876384045205409,-1.4989863,-9.89983840452054,-9.9111863,-0.011347895479459247
107,0.242857,0.242857,0.242857,4.2127929,2,12.162612744803678,12.156057,3.7504127448036773,3.743857,-0.006555744803677044
107,0.242857,0.242857,0.242857,4.2127929,3,19.571790288384417,19.533408,11.159590288384416,11.121208000000001,-0.038382288384415375
107,0.242857,0.242857,0.242857,4.2127929,4,19.57179028838451,20.316466,11.159590288384509,11.904265999999998,0.7446757116154892
108,0.228571,0.228571,0.228571,4.2520916,1,-1.6778681246259781,-1.7070594,-10.09006812462598,-10.1192594,-0.029191275374021775
108,0.228571,0.228571,0.228571,4.2520916,2,12.709353964812065,12.694742,4.297153964812065,4.282541999999999,-0.014611964812065281
108,0.228571,0.228571,0.228571,4.2520916,3,19.632036296019386,19.544078,11.219836296019386,11.131877999999999,-0.0879582960193872
108,0.228571,0.228571,0.228571,4.2520916,4,19.632036296019464,20.272573,11.219836296019464,11.860373000000001,0.640536703980537
109,0.214286,0.214286,0.214286,4.2913904,1,-1.8569284251131997,-1.8938691,-10.2691284251132,-10.3060691,-0.03694067488680042
109,0.214286,0.214286,0.214286,4.2913904,2,13.263467963568502,13.250699,4.851267963568501,4.838498999999999,-0.012768963568502656
109,0.214286,0.214286,0.214286,4.2913904,3,19.70133009682168,19.598684,11.289130096821678,11.186483999999998,-0.10264609682167958
109,0.214286,0.214286,0.214286,4.2913904,4,19.701330096821728,20.244187,11.289130096821728,11.831987,0.5428569031782722
110,0.2,0.2,0.2,4.3306891,1,-2.024723213739813,-2.0582372,-10.436923213739814,-10.470437200000001,-0.03351398626018742
110,0.2,0.2,0.2,4.3306891,2,13.824776961524769,13.822898,5.412576961524769,5.410698,-0.0018789615247687408
110,0.2,0.2,0.2,4.3306891,3,19.779582533499358,19.690291,11.367382533499358,11.278090999999998,-0.08929153349935959
110,0.2,0.2,0.2,4.3306891,4,19.779582533499358,20.244259,11.367382533499358,11.832059,0.46467646650064154
111,0.185714,0.185714,0.185714,4.3699879,1,-2.1812096598284567,-2.2025629,-10.593409659828456,-10.6147629,-0.021353240171543497
111,0.185714,0.185714,0.185714,4.3699879,2,14.392875620067358,14.405394,5.980675620067357,5.993193999999999,0.012518379932641821
111,0.185714,0.185714,0.185714,4.3699879,3,19.86665841059645,19.809322,11.45445841059645,11.397122000000001,-0.05733641059644867
111,0.185714,0.185714,0.185714,4.3699879,4,19.866658410596504,20.277824,11.454458410596503,11.865623999999999,0.41116558940349535
112,0.171429,0.171429,0.171429,4.4092866,1,-2.326301466999765,-2.3316035,-10.738501466999764,-10.7438035,-0.005302033000234907
112,0.171429,0.171429,0.171429,4.4092866,2,14.967296839508114,14.989951,6.5550968395081135,6.577750999999999,0.022654160491885733
112,0.171429,0.171429,0.171429,4.4092866,3,19.96239549847588,19.947259,11.550195498475878,11.535058999999999,-0.015136498475879279
112,0.171429,0.171429,0.171429,4.4092866,4,19.962395498475896,20.339617,11.550195498475896,11.927417,0.3772215015241045
113,0.157143,0.157143,0.157143,4.4485854,1,-2.4600106778803417,-2.4505721,-10.872210677880343,-10.8627721,0.009438577880341636
113,0.157143,0.157143,0.157143,4.4485854,2,15.547583424541404,15.570396,7.135383424541404,7.158196,0.022812575458596385
113,0.157143,0.157143,0.157143,4.4485854,3,20.066540140441752,20.097003,11.654340140441752,11.684803,0.030462859558248567
113,0.157143,0.157143,0.157143,4.4485854,4,20.06654014044176,20.417875,11.654340140441759,12.005674999999998,0.3513348595582393
114,0.142857,0.142857,0.142857,4.4878841,1,-2.5822567851050255,-2.5633895,-10.994456785105026,-10.9755895,0.018867285105025555
114,0.142857,0.142857,0.142857,4.4878841,2,16.133016150943075,16.146795,7.720816150943074,7.7345950000000006,0.01377884905692639
114,0.142857,0.142857,0.142857,4.4878841,3,20.178782876641908,20.249548,11.766582876641907,11.837348,0.07076512335809326
114,0.142857,0.142857,0.142857,4.4878841,4,20.178782876641918,20.50332,11.766582876641918,12.091119999999998,0.3245371233580805
115,0.128571,0.128571,0.128571,4.5271829,1,-2.6929523122584986,-2.6716931,-11.105152312258499,-11.083893100000001,0.021259212258498472
115,0.128571,0.128571,0.128571,4.5271829,2,16.72270662148437,16.727149,8.31050662148437,8.314949,0.004442378515630452
115,0.128571,0.128571,0.128571,4.5271829,3,20.29868840216859,20.390637,11.88648840216859,11.978437000000001,0.0919485978314114
115,0.128571,0.128571,0.128571,4.5271829,4,20.298688402168608,20.597599,11.886488402168608,12.185398999999999,0.29891059783139085
116,0.114286,0.114286,0.114286,4.5664816,1,-2.7921385310760027,-2.7747481,-11.204338531076003,-11.1869481,0.017390431076002688
116,0.114286,0.114286,0.114286,4.5664816,2,17.31541928037007,17.324967,8.903219280370068,8.912767,0.009547719629932061
116,0.114286,0.114286,0.114286,4.5664816,3,20.42556897918997,20.506237,12.013368979189968,12.094036999999998,0.08066802081003033
116,0.114286,0.114286,0.114286,4.5664816,4,20.42556897919003,20.710446,12.013368979190028,12.298246,0.28487702080997224
117,0.1,0.1,0.1,4.6057804,1,-2.879705515984819,-2.8700668,-11.29190551598482,-11.2822668,0.009638715984818802
117,0.1,0.1,0.1,4.6057804,2,17.909593264020383,17.952732,9.497393264020383,9.540532,0.04313873597961759
117,0.1,0.1,0.1,4.6057804,3,20.558504295974984,20.603074,12.146304295974984,12.190873999999999,0.044569704025015255
117,0.1,0.1,0.1,4.6057804,4,20.558504295975016,20.838266,12.146304295975016,12.426066,0.2797617040249847
118,0.085714,0.085714,0.085714,4.6450791,1,-2.9556791199625563,-2.9544304,-11.367879119962556,-11.3666304,0.0012487199625561551
118,0.085714,0.085714,0.085714,4.6450791,2,18.502785764153217,18.61325,10.090585764153216,10.20105,0.11046423584678422
118,0.085714,0.085714,0.085714,4.6450791,3,20.696012298840166,20.702814,12.283812298840166,12.290614,0.006801701159833584
118,0.085714,0.085714,0.085714,4.6450791,4,20.696012298840227,20.965849,12.283812298840227,12.553648999999998,0.26983670115977176
119,0.071429,0.071429,0.071429,4.6843779,1,-3.0200667509504746,-3.0250121,-11.432266750950475,-11.4372121,-0.004945349049525483
119,0.071429,0.071429,0.071429,4.6843779,2,19.09123180364353,19.292202,10.67903180364353,10.880002,0.20097019635646873
119,0.071429,0.071429,0.071429,4.6843779,3,20.83577959741204,20.819731,12.423579597412038,12.407531,-0.01604859741203768
119,0.071429,0.071429,0.071429,4.6843779,4,20.835779597412053,21.082998,12.423579597412052,12.670798,0.24721840258794714
120,0.057143,0.057143,0.057143,4.7236766,1,-3.0727515416664652,-3.0802789,-11.484951541666465,-11.4924789,-0.007527358333534906
120,0.057143,0.057143,0.057143,4.7236766,2,19.669037029037813,19.955096,11.256837029037813,11.542896,0.2860589709621877
120,0.057143,0.057143,0.057143,4.7236766,3,20.97409490229434,20.955523,12.56189490229434,12.543323,-0.018571902294340248
120,0.057143,0.057143,0.057143,4.7236766,4,20.97409490229434,21.184739,12.56189490229434,12.772539,0.21064409770566073
121,0.042857,0.042857,0.042857,4.7629754,1,-3.113747917161096,-3.12037,-11.525947917161096,-11.53257,-0.006622082838903864
121,0.042857,0.042857,0.042857,4.7629754,2,20.225229760936028,20.550133,11.813029760936027,12.137932999999999,0.3249032390639712
121,0.042857,0.042857,0.042857,4.7629754,3,21.10472696794707,21.099969,12.69252696794707,12.687769000000001,-0.004757967947067954
121,0.042857,0.042857,0.042857,4.7629754,4,21.10472696794707,21.268892,12.69252696794707,12.856692,0.16416503205293154
122,0.028571,0.028571,0.028571,4.8022741,1,-3.1430816957098666,-3.146804,-11.555281695709867,-11.559004,-0.003722304290133316
122,0.028571,0.028571,0.028571,4.8022741,2,20.73713586375667,21.014842,12.32493586375667,12.602642000000001,0.2777061362433315
122,0.028571,0.028571,0.028571,4.8022741,3,21.217452155204256,21.232694,12.805252155204256,12.820493999999998,0.01524184479574231
122,0.028571,0.028571,0.028571,4.8022741,4,21.217452155204295,21.338603,12.805252155204295,12.926402999999999,0.1211508447957037
123,0.014286,0.014286,0.014286,4.8415729,1,-3.1607025055246334,-3.1616535,-11.572902505524635,-11.5738535,-0.0009509944753665067
123,0.014286,0.014286,0.014286,4.8415729,2,21.149061710446823,21.277347,12.736861710446822,12.865146999999999,0.12828528955317609
123,0.014286,0.014286,0.014286,4.8415729,3,21.297003581004056,21.321547,12.884803581004055,12.909346999999999,0.024543418995943256
123,0.014286,0.014286,0.014286,4.8415729,4,21.297003581004113,21.42064,12.884803581004112,13.008439999999998,0.12363641899588629
124,0.0,0.0,0.0,4.8808716,1,-3.1665642422585587,-3.1665642,-11.57876424225856,-11.5787642,4.2258558874408436e-08
124,0.0,0.0,0.0,4.8808716,2,21.326269887354133,21.32627,12.914069887354133,12.91407,1.1264586774473173e-07
124,0.0,0.0,0.0,4.8808716,3,21.326269887354183,21.366162,12.914069887354183,12.953961999999999,0.03989211264581627
124,0.0,0.0,0.0,4.8808716,4,21.326269887354208,21.471358,12.914069887354207,13.059157999999998,0.1450881126457908
125,0.008929,0.008929,0.017857,4.9209807,1,-3.1604586140446314,-3.1619685,-11.57265861404463,-11.5741685,-0.0015098859553686061
125,0.008929,0.008929,0.017857,4.9209807,2,21.174077156663568,21.267369,12.761877156663568,12.855168999999998,0.0932918433364307
125,0.008929,0.008929,0.017857,4.9209807,3,21.226904787091474,21.322488,12.814704787091474,12.910288,0.0955832129085259
125,0.008929,0.008929,0.017857,4.9209807,4,21.332201729799216,21.427453,12.920001729799216,13.015253,0.09525127020078372
126,0.017857,0.017857,0.035714,4.9610898,1,-3.142117925818283,-3.1470654,-11.554317925818284,-11.559265400000001,-0.0049474741817165935
126,0.017857,0.017857,0.035714,4.9610898,2,20.8137897263089,20.998933,12.4015897263089,12.586733,0.18514327369110006
126,0.017857,0.017857,0.035714,4.9610898,3,20.980730630979526,21.206954,12.568530630979525,12.794754,0.2262233690204738
126,0.017857,0.017857,0.035714,4.9610898,4,21.34999687761767,21.368195,12.93779687761767,12.955995,0.018198122382329984
127,0.026786,0.026786,0.053571,5.001199,1,-3.1115514554214485,-3.1200988,-11.523751455421449,-11.5322988,-0.008547344578551552
127,0.026786,0.026786,0.053571,5.001199,2,20.362086293251508,20.580408,11.949886293251508,12.168207999999998,0.21832170674849039
127,0.026786,0.026786,0.053571,5.001199,3,20.660234305165048,20.949049,12.248034305165048,12.536848999999998,0.2888146948349508
127,0.026786,0.026786,0.053571,5.001199,4,21.379658412234793,21.361154,12.967458412234793,12.948953999999999,-0.018504412234793932
128,0.035714,0.035714,0.071429,5.0413081,1,-3.0688465809884704,-3.079174,-11.48104658098847,-11.491374,-0.01032741901152967
128,0.035714,0.035714,0.071429,5.0413081,2,19.871340964965942,20.065231,11.459140964965941,11.653031,0.19389003503405888
128,0.035714,0.035714,0.071429,5.0413081,3,20.303012879109655,20.599269,11.890812879109655,12.187069,0.2962561208903445
128,0.035714,0.035714,0.071429,5.0413081,4,21.42117595215424,21.382577,13.00897595215424,12.970377000000001,-0.038598952154238475
129,0.044643,0.044643,0.089286,5.0814172,1,-3.013944159625537,-3.0233605,-11.426144159625537,-11.435560500000001,-0.009416340374462706
129,0.044643,0.044643,0.089286,5.0814172,2,19.363803003622422,19.504446,10.951603003622422,11.092246000000001,0.14064299637757927
129,0.044643,0.044643,0.089286,5.0814172,3,19.925713773051683,20.187862,11.513513773051683,11.775661999999999,0.26214822694831597
129,0.044643,0.044643,0.089286,5.0814172,4,21.474562054946315,21.437527,13.062362054946314,13.025326999999999,-0.03703505494631543
130,0.053571,0.053571,0.107143,5.1215263,1,-2.9469161040947305,-2.9532118,-11.359116104094731,-11.3654118,-0.006295695905269572
130,0.053571,0.053571,0.107143,5.1215263,2,18.850220770425633,18.938147,10.438020770425632,10.525947,0.08792622957436791
130,0.053571,0.053571,0.107143,5.1215263,3,19.536305275908322,19.742488,11.124105275908322,11.330288000000001,0.20618272409167915
130,0.053571,0.053571,0.107143,5.1215263,4,21.53978140810185,21.533291,13.127581408101848,13.121090999999998,-0.00649040810185042
131,0.0625,0.0625,0.125,5.1616354,1,-2.867806261882217,-2.8704036,-11.280006261882217,-11.2826036,-0.0025973381177828436
131,0.0625,0.0625,0.125,5.1616354,2,18.33649516734593,18.389725,9.92429516734593,9.977524999999998,0.05322983265406833
131,0.0625,0.0625,0.125,5.1616354,3,19.13923170141544,19.28803,10.72703170141544,10.875829999999999,0.14879829858455906
131,0.0625,0.0625,0.125,5.1616354,4,21.616843500243643,21.672146,13.204643500243643,13.259946000000001,0.05530249975635826
132,0.071429,0.071429,0.142857,5.2017445,1,-2.776557741338539,-2.7767256,-11.18875774133854,-11.188925600000001,-0.00016785866146085127
132,0.071429,0.071429,0.142857,5.2017445,2,17.826188472268854,17.866204,9.413988472268853,9.454004,0.04001552773114625
132,0.071429,0.071429,0.142857,5.2017445,3,18.737350884731747,18.842797,10.325150884731746,10.430597,0.1054461152682542
132,0.071429,0.071429,0.142857,5.2017445,4,21.70574088142504,21.848881,13.29354088142504,13.436680999999998,0.14314011857495856
133,0.080357,0.080357,0.160714,5.2418537,1,-2.673255929432803,-2.6730151,-11.085455929432804,-11.085215100000001,0.00024082943280268054
133,0.080357,0.080357,0.160714,5.2418537,2,17.321511151582342,17.363968,8.909311151582342,8.951768,0.04245684841765751
133,0.080357,0.080357,0.160714,5.2418537,3,18.332653012927945,18.415268,9.920453012927945,10.003068,0.08261498707205561
133,0.080357,0.080357,0.160714,5.2418537,4,21.806486621912047,22.050213,13.394286621912046,13.638012999999999,0.2437263780879526
134,0.089286,0.089286,0.178571,5.2819628,1,-2.5579270501712728,-2.5586204,-10.970127050171273,-10.970820400000001,-0.0006933498287273743
134,0.089286,0.089286,0.178571,5.2819628,2,16.824050325012177,16.875788,8.411850325012177,8.463588,0.05173767498782311
134,0.089286,0.089286,0.178571,5.2819628,3,17.92658375850876,18.003965,9.514383758508759,9.591765,0.07738124149124204
134,0.089286,0.089286,0.178571,5.2819628,4,21.91902548384982,22.255963,13.506825483849818,13.843763000000001,0.33693751615018286
135,0.098214,0.098214,0.196429,5.3220719,1,-2.430611762676479,-2.4316975,-10.84281176267648,-10.8438975,-0.0010857373235206857
135,0.098214,0.098214,0.196429,5.3220719,2,16.334788280066956,16.395189,7.922588280066956,7.982988999999998,0.060400719933042524
135,0.098214,0.098214,0.196429,5.3220719,3,17.520373366785787,17.60156,9.108173366785786,9.189359999999999,0.08118663321421238
135,0.098214,0.098214,0.196429,5.3220719,4,22.043375170866558,22.441744,13.631175170866557,14.029544,0.3983688291334424
136,0.107143,0.107143,0.214286,5.362181,1,-2.2914014955851383,-2.290241,-10.703601495585138,-10.702441,0.0011604955851383103
136,0.107143,0.107143,0.214286,5.362181,2,15.854522021569823,15.91796,7.442322021569822,7.50576,0.06343797843017818
136,0.107143,0.107143,0.214286,5.362181,3,17.115094168605488,17.20052,8.702894168605487,8.78832,0.0854258313945131
136,0.107143,0.107143,0.214286,5.362181,4,22.179501141859276,22.582627,13.767301141859276,14.170426999999998,0.4031258581407222
137,0.116071,0.116071,0.232143,5.4022901,1,-2.1402732653687333,-2.1333724,-10.552473265368734,-10.545572400000001,0.0069008653687334665
137,0.116071,0.116071,0.232143,5.4022901,2,15.383778290261436,15.442735,6.971578290261435,7.030535,0.05895670973856504
137,0.116071,0.116071,0.232143,5.4022901,3,16.71163407445844,16.79657,8.299434074458441,8.384369999999999,0.08493592554155782
137,0.116071,0.116071,0.232143,5.4022901,4,22.327408578102897,22.657041,13.915208578102897,14.244841,0.3296324218971023
138,0.125,0.125,0.25,5.4423993,1,-1.9773318373251745,-1.9622227,-10.389531837325174,-10.3744227,0.015109137325174382
138,0.125,0.125,0.25,5.4423993,2,14.922955936489513,14.971177,6.510755936489513,6.5589770000000005,0.04822106351048738
138,0.125,0.125,0.25,5.4423993,3,16.310760864679413,16.389023,7.898560864679412,7.976823000000001,0.07826213532058901
138,0.125,0.125,0.25,5.4423993,4,22.487073411455295,22.650088,14.074873411455295,14.237888,0.16301458854470496
139,0.133929,0.133929,0.267857,5.4825084,1,-1.8026263613772522,-1.7798689,-10.214826361377252,-10.1920689,0.022757461377252097
139,0.133929,0.133929,0.267857,5.4825084,2,14.472358185624318,14.507015,6.060158185624317,6.0948150000000005,0.034656814375683354
139,0.133929,0.133929,0.267857,5.4825084,3,15.913192730593948,15.979661,7.500992730593948,7.567461,0.06646826940605166
139,0.133929,0.133929,0.267857,5.4825084,4,22.42776083937331,22.555609,14.01556083937331,14.143409,0.1278481606266908
140,0.142857,0.142857,0.285714,5.5226175,1,-1.616212303427049,-1.5902103,-10.02841230342705,-10.002410300000001,0.026002003427048948
140,0.142857,0.142857,0.285714,5.5226175,2,14.032214820522146,14.053993,5.620014820522146,5.641793,0.02177817947785421
140,0.142857,0.142857,0.285714,5.5226175,3,15.519582870417489,15.571654,7.107382870417489,7.159454,0.05207112958251159
140,0.142857,0.142857,0.285714,5.5226175,4,22.093634031456723,22.376601,13.681434031456723,13.964401,0.28296696854327763
141,0.151786,0.151786,0.303571,5.5627266,1,-1.4181742362481233,-1.3961907,-9.830374236248124,-9.8083907,0.021983536248123325
141,0.151786,0.151786,0.303571,5.5627266,2,13.602700746557343,13.614164,5.190500746557342,5.201964,0.011463253442657972
141,0.151786,0.151786,0.303571,5.5627266,3,15.130492508080769,15.168661,6.7182925080807685,6.756461,0.03816849191923133
141,0.151786,0.151786,0.303571,5.5627266,4,21.739075922495477,22.123953,13.326875922495477,13.711753,0.38487707750452316
142,0.160714,0.160714,0.321429,5.6028357,1,-1.208562374336317,-1.1981385,-9.620762374336318,-9.610338500000001,0.010423874336316974
142,0.160714,0.160714,0.321429,5.6028357,2,13.183926248396885,13.187773,4.7717262483968845,4.775573,0.003846751603115095
142,0.160714,0.160714,0.321429,5.6028357,3,14.74644822561906,14.773666,6.33424822561906,6.361466,0.027217774380940085
142,0.160714,0.160714,0.321429,5.6028357,4,21.37760607091774,21.813873,12.965406070917739,13.401673,0.4362669290822616
143,0.169643,0.169643,0.339286,5.6429448,1,-0.9875138741356831,-0.99304341,-9.399713874135683,-9.40524341,-0.005529535864316815
143,0.169643,0.169643,0.339286,5.6429448,2,12.776024388213322,12.774449,4.363824388213322,4.362249,-0.0015753882133218156
143,0.169643,0.169643,0.339286,5.6429448,3,14.367995262736427,14.387885,5.955795262736427,5.975685,0.019889737263573792
143,0.169643,0.169643,0.339286,5.6429448,4,21.01628117273981,21.464637,12.604081172739809,13.052437,0.4483558272601904
144,0.178571,0.178571,0.357143,5.683054,1,-0.7550207467616665,-0.77530538,-9.167220746761666,-9.187505380000001,-0.020284633238333516
144,0.178571,0.178571,0.357143,5.683054,2,12.379078307571167,12.374229,3.966878307571166,3.9620289999999994,-0.004849307571166861
144,0.178571,0.178571,0.357143,5.683054,3,13.995548956000453,14.010658,5.583348956000453,5.598457999999999,0.015109043999546046
144,0.178571,0.178571,0.357143,5.683054,4,20.65901418006718,21.093438,12.246814180067181,12.681237999999999,0.4344238199328174
145,0.1875,0.1875,0.375,5.7231631,1,-0.5111845000154107,-0.53889442,-8.92338450001541,-8.95109442,-0.02770991998458927
145,0.1875,0.1875,0.375,5.7231631,2,11.993129309721414,11.987481,3.580929309721414,3.5752810000000004,-0.0056483097214137246
145,0.1875,0.1875,0.375,5.7231631,3,13.629576452569443,13.64059,5.217376452569443,5.228389999999999,0.011013547430556159
145,0.1875,0.1875,0.375,5.7231631,4,20.307985929541452,20.714015,11.895785929541452,12.301815,0.40602907045854764
146,0.196429,0.196429,0.392857,5.7632722,1,-0.25612816368610275,-0.2801338,-8.668328163686104,-8.6923338,-0.02400563631389724
146,0.196429,0.196429,0.392857,5.7632722,2,11.618218268695708,11.614205,3.2060182686957077,3.2020049999999998,-0.00401326869570795
