k_index,distance_inv_angstrom,band,QE_eV,Wannier_eV,error_eV
55,2.1441241,2,7.790592230112898,7.3838021,-0.4067901301128982
55,2.1441241,3,8.942872134911953,9.9843767,1.0415045650880472
55,2.1441241,4,10.779171920698703,11.308473,0.5293010793012964
56,2.1838301,1,6.569264773787542,6.1858886,-0.38337617378754185
56,2.1838301,2,7.931597019390569,7.5602964,-0.3713006193905688
56,2.1838301,3,8.6735610062362,9.5328751,0.8593140937637997
56,2.1838301,4,10.53226051864379,10.970888,0.4386274813562103
57,2.2235361,1,6.731779458794253,6.3917036,-0.34007585879425317
57,2.2235361,2,8.073065704532185,7.7594252,-0.3136405045321853
57,2.2235361,3,8.414992035894954,9.0903791,0.6753870641050455
57,2.2235361,4,10.303470535826554,10.638606,0.33513546417344564
58,2.2632421,1,6.904899173413512,6.6254165,-0.2794826734135123
58,2.2632421,2,8.167174547686072,7.9725317,-0.19464284768607154
58,2.2632421,3,8.208888564675723,8.6633482,0.4544596353242767
58,2.2632421,4,10.099597072022497,10.32251,0.22291292797750195
59,2.3029481,1,7.088628089098738,6.8867198,-0.20190828909873826
59,2.3029481,2,7.93008325429177,8.150866,0.22078274570823098
59,2.3029481,3,8.328280403465277,8.2884241,-0.039856303465276355
59,2.3029481,4,9.931464322780888,10.04206,0.11059567721911101
60,2.3426541,1,7.282991900220265,7.1747866,-0.10820530022026542
60,2.3426541,2,7.703700778945825,7.8484445,0.14474372105417554
60,2.3426541,3,8.414214240631756,8.3781055,-0.03610874063175551
60,2.3426541,4,9.816222190961485,9.8366667,0.02044450903851569
61,2.3823601,1,7.4880098276775575,7.4880098,-2.7677557135064035e-08
61,2.3823601,2,7.4880098276775575,7.4880098,-2.7677557135064035e-08
61,2.3823601,3,8.446288901531846,8.4462889,-1.5318448731704848e-09
61,2.3823601,4,9.774354779691388,9.7743548,2.0308611681230104e-08
62,2.4224692,1,7.402620788968158,7.3323065,-0.0703142889681585
62,2.4224692,2,7.449219417588459,7.4406212,-0.008598217588459356
62,2.4224692,3,8.542860492622005,8.5780985,0.03523800737799476
62,2.4224692,4,9.822834605831394,9.8237556,0.0009209941686059153
63,2.4625783,1,7.207598784848194,7.0235384,-0.18406038484819476
63,2.4625783,2,7.341639786759226,7.3166716,-0.024968186759225297
63,2.4625783,3,8.77141851163108,8.9026962,0.13127768836891995
63,2.4625783,4,9.959441762223044,9.9558386,-0.0036031622230439098
64,2.5026874,1,6.974056571817055,6.6845157,-0.2895408718170547
64,2.5026874,2,7.184618765243735,7.1339908,-0.05062796524373514
64,2.5026874,3,9.06085212839679,9.2969171,0.23606497160320927
64,2.5026874,4,10.164840945030402,10.155697,-0.009143945030402278
65,2.5427965,1,6.731109670500048,6.3500513,-0.38105837050004876
65,2.5427965,2,6.9971505625745385,6.9105384,-0.08661216257453841
65,2.5427965,3,9.382010778411008,9.7258954,0.3438846215889928
65,2.5427965,4,10.420000002011028,10.408954,-0.011046002011028122
66,2.5829057,1,6.489433238102775,6.0305695,-0.4588637381027745
66,2.5829057,2,6.793126771143491,6.6607524,-0.1323743711434915
66,2.5829057,3,9.724210426967172,10.178572,0.45436157303282876
66,2.5829057,4,10.711058004022663,10.706033,-0.005025004022662927
67,2.6230148,1,6.253571144533344,5.7298708,-0.5237003445333448
67,2.6230148,2,6.581726606965235,6.3955143,-0.18621230696523483
67,2.6230148,3,10.08285428817782,10.649505,0.5666507118221791
67,2.6230148,4,11.028723955751355,11.042276,0.013552044248644535
68,2.6631239,1,6.025607293224207,5.4494275,-0.576179793224207
68,2.6631239,2,6.368686679269486,6.1232902,-0.2453964792694867
68,2.6631239,3,10.455813584697779,11.133596,0.6777824153022216
68,2.6631239,4,11.367096664876113,11.417383,0.050286335123885806
69,2.703233,1,5.806707867471005,5.1896849,-0.617022967471005
69,2.703233,2,6.157886162073625,5.8510818,-0.30680436207362494
69,2.703233,3,10.84187087952324,11.623072,0.7812011204767604
69,2.703233,4,11.722387277510668,11.835746,0.11335872248933221
70,2.7433421,1,5.5975332674096805,4.9505521,-0.6469811674096801
70,2.7433421,2,5.951767034344749,5.5849693,-0.3667977343447486
70,2.7433421,3,11.2402443312862,12.10908,0.8688356687137997
70,2.7433421,4,12.091788617143074,12.30336,0.2115713828569259
71,2.7834513,1,5.398433705709843,4.7316426,-0.6667911057098435
71,2.7834513,2,5.752054648346889,5.3303306,-0.42172404834688937
71,2.7834513,3,11.65053882613347,12.594494,0.943955173866529
71,2.7834513,4,12.47361887481736,12.814134,0.34051512518263927
72,2.8235604,1,5.209698501711453,4.5324455,-0.6772530017114535
72,2.8235604,2,5.560037467131406,5.0918385,-0.4681989671314062
72,2.8235604,3,12.072295854676318,13.091417,1.0191211453236821
72,2.8235604,4,12.866355265280013,13.351817,0.485461734719987
73,2.8636695,1,5.031447671693151,4.3524947,-0.6789529716931506
73,2.8636695,2,5.376506964248312,4.8733138,-0.5031931642483123
73,2.8636695,3,12.505281912412716,13.606354,1.1010720875872835
73,2.8636695,4,13.269019912223726,13.904472,0.6354520877762742
74,2.9037786,1,4.863829633553377,4.1915426,-0.6722870335533768
74,2.9037786,2,5.202195536452882,4.677506,-0.5246895364528816
74,2.9037786,3,12.9491005493081,14.139711,1.1906104506918993
74,2.9037786,4,13.680557603441477,14.46477,0.784212396558523
75,2.9438877,1,4.706880971121596,4.0496821,-0.6571988711215964
75,2.9438877,2,5.037606418302006,4.5059031,-0.5317033183020055
75,2.9438877,3,13.403528731175912,14.688654,1.2851252688240873
75,2.9438877,4,14.100277443354333,15.027046,0.9267685566456674
76,2.9839968,1,4.560671246030951,3.9273265,-0.6333447460309514
76,2.9839968,2,4.8831478379105935,4.3586908,-0.5244570379105937
76,2.9839968,3,13.86814888187505,15.248444,1.38029511812495
76,2.9839968,4,14.527301306674431,15.585994,1.0586926933255683
77,3.024106,1,4.425248906513697,3.8249929,-0.600256006513697
77,3.024106,2,4.739165422950669,4.2349337,-0.504231722950669
77,3.024106,3,14.34246216159121,15.812983,1.47052083840879
77,3.024106,4,14.960788647437116,16.136229,1.1754403525628838
78,3.0642151,1,4.300613567944574,3.7429499,-0.5576636679445741
78,3.0642151,2,4.605958279230854,4.132929,-0.4730292792308539
78,3.0642151,3,14.82601559528986,16.375119,1.5491034047101415
78,3.0642151,4,15.400042522175916,16.67219,1.2721474778240847
79,3.1043242,1,4.1868067939631315,3.6808724,-0.5059343939631313
79,3.1043242,2,4.4837168818414135,4.0505974,-0.43311948184141347
79,3.1043242,3,15.31798281841845,16.92689,1.60890718158155
79,3.1043242,4,15.84395862220119,17.188166,1.3442073777988082
80,3.1444333,1,4.083813677468399,3.6376225,-0.44619117746839887
80,3.1444333,2,4.3726189370610555,3.9857936,-0.3868253370610555
80,3.1444333,3,15.817495727052513,17.459767,1.642271272947486
80,3.1444333,4,16.29156012240309,17.678383,1.3868228775969094
81,3.1845424,1,3.9916647214470538,3.6111933,-0.3804714214470537
81,3.1845424,2,4.272833696424158,3.9364985,-0.3363351964241579
81,3.1845424,3,16.323139844884302,17.964895,1.6417551551156961
81,3.1845424,4,16.741378485643025,18.137138,1.3957595143569748
82,3.2246515,1,3.910344720498061,3.5987952,-0.31154952049806095
82,3.2246515,2,4.184525991706522,3.90091,-0.28361599170652196
82,3.2246515,3,16.83321434220614,18.433326,1.6001116577938603
82,3.2246515,4,17.191887845973667,18.558971,1.3670831540263322
83,3.2647607,1,3.839866090982222,3.5970633,-0.24280279098222213
83,3.2647607,2,4.107766901052197,3.8774451,-0.23032180105219702
83,3.2647607,3,17.34507954666463,18.856136,1.511056453335371
83,3.2647607,4,17.64091614887975,18.938957,1.2980408511202484
84,3.3048698,1,3.780236546168108,3.6023855,-0.17785104616810798
