omega_meV,alpha2F,native_cumulative_lambda
27.6647282,0.1684512,0.1550465
27.7551358,0.1865304,0.1562617
27.8455434,0.2049701,0.1575926
27.935951,0.2216894,0.1590275
28.0263586,0.234516,0.1605405
28.1167662,0.2415325,0.1620938
28.2071738,0.2414001,0.1636412
28.2975814,0.2336126,0.165134
28.387989,0.2186345,0.1665265
28.4783966,0.1978844,0.1677829
28.5688042,0.1735523,0.1688814
28.6592118,0.1482723,0.1698168
28.7496195,0.1247067,0.1706012
28.8400271,0.105119,0.1712602
28.9304347,0.0910119,0.171829
29.0208423,0.0828983,0.1723455
29.1112499,0.0802539,0.172844
29.2016575,0.081686,0.1733498
29.2920651,0.0853102,0.1738764
29.3824727,0.0892782,0.1744258
29.4728803,0.0923298,0.1749923
29.5632879,0.094204,0.1755684
29.6536955,0.0957558,0.1761523
29.7441031,0.0987061,0.1767523
29.8345108,0.1050747,0.1773892
29.9249184,0.1164619,0.1780929
30.015326,0.1334046,0.1788965
30.1057336,0.1550153,0.1798275
30.1961412,0.1790248,0.1808995
30.2865488,0.202229,0.1821069
30.3769564,0.2212192,0.1834236
30.467364,0.2331976,0.1848076
30.5577716,0.2366465,0.1862079
30.6481792,0.231666,0.1875746
30.7385868,0.2198829,0.1888681
30.8289944,0.2039673,0.1900644
30.9194021,0.1869077,0.1911574
31.0098097,0.1712709,0.1921561
31.1002173,0.1586597,0.1930785
31.1906249,0.1495054,0.1939452
31.2810325,0.1432079,0.194773
31.3714401,0.138525,0.1955714
31.4618477,0.1340505,0.1963418
31.5522553,0.1286256,0.1970789
31.6426629,0.1215857,0.1977737
31.7330705,0.1128234,0.1984166
31.8234781,0.1027188,0.1990002
31.9138857,0.0920175,0.1995215
32.0042934,0.0817201,0.1999832
32.094701,0.0730031,0.2003945
32.1851086,0.0671404,0.2007717
32.2755162,0.0653792,0.201138
32.3659238,0.068747,0.201522
32.4563314,0.0778225,0.2019556
32.546739,0.0925534,0.2024698
32.6371466,0.1122117,0.2030914
32.7275542,0.1355294,0.2038402
32.8179618,0.1609702,0.2047271
32.9083694,0.1870225,0.2057547
32.998777,0.2123866,0.2069185
33.0891847,0.2360028,0.2082081
33.1795923,0.2569727,0.2096085
33.2699999,0.2744987,0.2111003
33.3604075,0.2879366,0.212661
33.4508151,0.2969454,0.2142661
33.5412227,0.3016074,0.215892
33.6316303,0.3023805,0.2175177
33.7220379,0.2998645,0.2191256
33.8124455,0.2945233,0.2207005
33.9028531,0.2865847,0.222229
33.9932607,0.2762375,0.2236983
34.0836683,0.2640344,0.2250991
34.174076,0.2512152,0.2264282
34.2644836,0.2396585,0.2276929
34.3548912,0.2313673,0.2289107
34.4452988,0.2276865,0.2301059
34.5357064,0.2286575,0.231303
34.626114,0.2328914,0.2325192
34.7165216,0.2380932,0.2337592
34.8069292,0.2420252,0.2350165
34.8973368,0.2434519,0.2362779
34.9877444,0.2426029,0.2375317
35.078152,0.2409411,0.2387736
35.1685596,0.2403929,0.2400096
35.2589673,0.242486,0.2412531
35.3493749,0.2478724,0.242521
35.4397825,0.2564716,0.2438295
35.5301901,0.268081,0.2451938
35.6205977,0.2830029,0.2466304
35.7110053,0.3022095,0.2481605
35.8014129,0.3268415,0.2498113
35.8918205,0.3572581,0.251611
35.9822281,0.3921758,0.2535818
36.0726357,0.4284559,0.2557294
36.1630433,0.4617857,0.2580384
36.2534509,0.4880263,0.2604724
36.3438586,0.5046232,0.262983
36.4342662,0.5114205,0.265521
36.5246738,0.5105168,0.2680483
36.6150814,0.5052768,0.2705435
36.705489,0.4990051,0.2730017
36.7958966,0.4938803,0.2754286
36.8863042,0.4905259,0.2778332
36.9767118,0.4882246,0.2802206
37.0671194,0.4855036,0.2825889
37.157527,0.4807647,0.2849284
37.2479346,0.4727754,0.2872234
37.3383422,0.4610068,0.2894559
37.4287499,0.4458711,0.2916098
37.5191575,0.4288451,0.2936766
37.6095651,0.4123776,0.2956591
