q_index,mode,sigma_Ry,star_weight,weight,frequency_THz,lambda_mode,gamma_GHz
5,1,0.03,24,0.375,5.584990531951615,0.0962,7.6
5,2,0.03,24,0.375,6.938020282913498,0.0915,11.16
5,3,0.03,24,0.375,9.168438409834893,0.2009,42.77
5,1,0.035,24,0.375,5.584990531951615,0.0956,7.54
5,2,0.035,24,0.375,6.938020282913498,0.0918,11.19
5,3,0.035,24,0.375,9.168438409834893,0.2015,42.86
5,1,0.04,24,0.375,5.584990531951615,0.0948,7.48
5,2,0.04,24,0.375,6.938020282913498,0.0922,11.23
5,3,0.04,24,0.375,9.168438409834893,0.2018,42.93
5,1,0.045,24,0.375,5.584990531951615,0.094,7.42
5,2,0.045,24,0.375,6.938020282913498,0.0925,11.28
5,3,0.045,24,0.375,9.168438409834893,0.2019,42.98
5,1,0.05,24,0.375,5.584990531951615,0.0931,7.36
5,2,0.05,24,0.375,6.938020282913498,0.0929,11.33
5,3,0.05,24,0.375,9.168438409834893,0.202,43.02
6,1,0.005,12,0.1875,4.969644274301181,0.0218,1.43
6,2,0.005,12,0.1875,6.818465163647396,0.1117,13.77
6,3,0.005,12,0.1875,8.563334445268287,0.2715,52.81
6,1,0.01,12,0.1875,4.969644274301181,0.0273,1.76
6,2,0.01,12,0.1875,6.818465163647396,0.117,14.17
6,3,0.01,12,0.1875,8.563334445268287,0.2224,42.49
6,1,0.015,12,0.1875,4.969644274301181,0.0283,1.8
6,2,0.015,12,0.1875,6.818465163647396,0.1178,14.14
6,3,0.015,12,0.1875,8.563334445268287,0.222,42.02
6,1,0.02,12,0.1875,4.969644274301181,0.0289,1.82
6,2,0.02,12,0.1875,6.818465163647396,0.1197,14.22
6,3,0.02,12,0.1875,8.563334445268287,0.2177,40.77
6,1,0.025,12,0.1875,4.969644274301181,0.0297,1.86
6,2,0.025,12,0.1875,6.818465163647396,0.1206,14.24
6,3,0.025,12,0.1875,8.563334445268287,0.2102,39.14
6,1,0.03,12,0.1875,4.969644274301181,0.0306,1.92
6,2,0.03,12,0.1875,6.818465163647396,0.1213,14.28
6,3,0.03,12,0.1875,8.563334445268287,0.2039,37.87
6,1,0.035,12,0.1875,4.969644274301181,0.0315,1.97
6,2,0.035,12,0.1875,6.818465163647396,0.1219,14.34
6,3,0.035,12,0.1875,8.563334445268287,0.1995,37.02
6,1,0.04,12,0.1875,4.969644274301181,0.0323,2.02
6,2,0.04,12,0.1875,6.818465163647396,0.1227,14.43
6,3,0.04,12,0.1875,8.563334445268287,0.1964,36.45
6,1,0.045,12,0.1875,4.969644274301181,0.033,2.06
6,2,0.045,12,0.1875,6.818465163647396,0.1235,14.54
6,3,0.045,12,0.1875,8.563334445268287,0.1943,36.08
6,1,0.05,12,0.1875,4.969644274301181,0.0336,2.1
6,2,0.05,12,0.1875,6.818465163647396,0.1243,14.65
6,3,0.05,12,0.1875,8.563334445268287,0.1928,35.82
7,1,0.005,3,0.046875,6.357085070997231,0.3857,41.34
7,2,0.005,3,0.046875,6.357085070997231,0.4142,44.4
7,3,0.005,3,0.046875,9.84143124638703,0.2725,70.0
7,1,0.01,3,0.046875,6.357085070997231,0.2065,21.74
7,2,0.01,3,0.046875,6.357085070997231,0.2191,23.07
7,3,0.01,3,0.046875,9.84143124638703,0.1475,37.21
7,1,0.015,3,0.046875,6.357085070997231,0.1464,15.27
7,2,0.015,3,0.046875,6.357085070997231,0.1544,16.1
7,3,0.015,3,0.046875,9.84143124638703,0.1355,33.87
7,1,0.02,3,0.046875,6.357085070997231,0.1209,12.48
7,2,0.02,3,0.046875,6.357085070997231,0.1268,13.09
7,3,0.02,3,0.046875,9.84143124638703,0.1374,33.99
7,1,0.025,3,0.046875,6.357085070997231,0.1123,11.52
7,2,0.025,3,0.046875,6.357085070997231,0.117,12.01
7,3,0.025,3,0.046875,9.84143124638703,0.1387,34.1
7,1,0.03,3,0.046875,6.357085070997231,0.1098,11.24
7,2,0.03,3,0.046875,6.357085070997231,0.1139,11.65
7,3,0.03,3,0.046875,9.84143124638703,0.1397,34.26
7,1,0.035,3,0.046875,6.357085070997231,0.1088,11.13
7,2,0.035,3,0.046875,6.357085070997231,0.1123,11.48
7,3,0.035,3,0.046875,9.84143124638703,0.1406,34.46
7,1,0.04,3,0.046875,6.357085070997231,0.108,11.04
7,2,0.04,3,0.046875,6.357085070997231,0.111,11.36
7,3,0.04,3,0.046875,9.84143124638703,0.1415,34.68
7,1,0.045,3,0.046875,6.357085070997231,0.1071,10.96
7,2,0.045,3,0.046875,6.357085070997231,0.1098,11.24
7,3,0.045,3,0.046875,9.84143124638703,0.1425,34.93
7,1,0.05,3,0.046875,6.357085070997231,0.1063,10.88
7,2,0.05,3,0.046875,6.357085070997231,0.1087,11.13
7,3,0.05,3,0.046875,9.84143124638703,0.1435,35.21
8,1,0.005,6,0.09375,6.886192340232202,0.0177,2.22
8,2,0.005,6,0.09375,8.438232462854982,0.0544,10.28
8,3,0.005,6,0.09375,8.438232462854982,0.0544,10.28
8,1,0.01,6,0.09375,6.886192340232202,0.0579,7.15
8,2,0.01,6,0.09375,8.438232462854982,0.1277,23.69
8,3,0.01,6,0.09375,8.438232462854982,0.1277,23.69
8,1,0.015,6,0.09375,6.886192340232202,0.07,8.56
8,2,0.015,6,0.09375,8.438232462854982,0.1555,28.58
8,3,0.015,6,0.09375,8.438232462854982,0.1555,28.58
8,1,0.02,6,0.09375,6.886192340232202,0.0735,8.9
8,2,0.02,6,0.09375,8.438232462854982,0.1653,30.07
8,3,0.02,6,0.09375,8.438232462854982,0.1653,30.07
8,1,0.025,6,0.09375,6.886192340232202,0.0755,9.09
8,2,0.025,6,0.09375,8.438232462854982,0.1697,30.67
8,3,0.025,6,0.09375,8.438232462854982,0.1697,30.67
8,1,0.03,6,0.09375,6.886192340232202,0.0767,9.21
8,2,0.03,6,0.09375,8.438232462854982,0.1711,30.85
8,3,0.03,6,0.09375,8.438232462854982,0.1711,30.85
8,1,0.035,6,0.09375,6.886192340232202,0.0772,9.26
8,2,0.035,6,0.09375,8.438232462854982,0.1709,30.8
8,3,0.035,6,0.09375,8.438232462854982,0.1709,30.79
8,1,0.04,6,0.09375,6.886192340232202,0.0773,9.27
8,2,0.04,6,0.09375,8.438232462854982,0.17,30.64
8,3,0.04,6,0.09375,8.438232462854982,0.17,30.63
8,1,0.045,6,0.09375,6.886192340232202,0.0771,9.26
8,2,0.045,6,0.09375,8.438232462854982,0.1688,30.44
8,3,0.045,6,0.09375,8.438232462854982,0.1688,30.44
8,1,0.05,6,0.09375,6.886192340232202,0.0769,9.24
8,2,0.05,6,0.09375,8.438232462854982,0.1676,30.24
8,3,0.05,6,0.09375,8.438232462854982,0.1676,30.23
