route,sigma_Ry,frequency_THz,a2F,cumulative_lambda
lambda.x,0.005,2.2481,0.0,0.0
lambda.x,0.005,2.2551,0.0,0.0
lambda.x,0.005,2.2621,0.0,0.0
lambda.x,0.005,2.2691,0.0,0.0
lambda.x,0.005,2.2761,0.0,0.0
lambda.x,0.005,2.2831,0.0,0.0
lambda.x,0.005,2.2901,0.0,0.0
lambda.x,0.005,2.2971,0.0,0.0
lambda.x,0.005,2.3042,0.0,0.0
lambda.x,0.005,2.3112,0.0,0.0
lambda.x,0.005,2.3182,0.0,0.0
lambda.x,0.005,2.3252,0.0,0.0
lambda.x,0.005,2.3322,0.0,0.0
lambda.x,0.005,2.3392,0.0,0.0
lambda.x,0.005,2.3462,0.0,0.0
lambda.x,0.005,2.3532,0.0,0.0
lambda.x,0.005,2.3602,0.0,0.0
lambda.x,0.005,2.3672,0.0,0.0
lambda.x,0.005,2.3742,0.0,0.0
lambda.x,0.005,2.3812,0.0,0.0
lambda.x,0.005,2.3882,0.0,0.0
lambda.x,0.005,2.3952,0.0,0.0
lambda.x,0.005,2.4022,0.0,0.0
lambda.x,0.005,2.4092,0.0,0.0
lambda.x,0.005,2.4162,0.0,0.0
lambda.x,0.005,2.4232,0.0,0.0
lambda.x,0.005,2.4302,0.0,0.0
lambda.x,0.005,2.4372,0.0,0.0
lambda.x,0.005,2.4442,0.0,0.0
lambda.x,0.005,2.4512,0.0,0.0
lambda.x,0.005,2.4582,0.0,0.0
lambda.x,0.005,2.4652,0.0,0.0
lambda.x,0.005,2.4722,0.0,0.0
lambda.x,0.005,2.4792,0.0,0.0
lambda.x,0.005,2.4862,0.0,0.0
lambda.x,0.005,2.4932,0.0,0.0
lambda.x,0.005,2.5003,0.0,0.0
lambda.x,0.005,2.5073,0.0,0.0
lambda.x,0.005,2.5143,0.0,0.0
lambda.x,0.005,2.5213,0.0,0.0
lambda.x,0.005,2.5283,0.0,0.0
lambda.x,0.005,2.5353,0.0,0.0
lambda.x,0.005,2.5423,0.0,0.0
lambda.x,0.005,2.5493,0.0,0.0
lambda.x,0.005,2.5563,0.0,0.0
lambda.x,0.005,2.5633,0.0,0.0
lambda.x,0.005,2.5703,0.0,0.0
lambda.x,0.005,2.5773,0.0,0.0
lambda.x,0.005,2.5843,0.0,0.0
lambda.x,0.005,2.5913,0.0,0.0
lambda.x,0.005,2.5983,0.0,0.0
lambda.x,0.005,2.6053,0.0,0.0
lambda.x,0.005,2.6123,0.0,0.0
lambda.x,0.005,2.6193,0.0,0.0
lambda.x,0.005,2.6263,0.0,0.0
lambda.x,0.005,2.6333,0.0,0.0
lambda.x,0.005,2.6403,0.0,0.0
lambda.x,0.005,2.6473,0.0,0.0
lambda.x,0.005,2.6543,0.0,0.0
lambda.x,0.005,2.6613,0.0,0.0
lambda.x,0.005,2.6683,0.0,0.0
lambda.x,0.005,2.6753,0.0,0.0
lambda.x,0.005,2.6823,0.0,0.0
lambda.x,0.005,2.6893,0.0,0.0
lambda.x,0.005,2.6963,0.0,0.0
lambda.x,0.005,2.7034,0.0,0.0
lambda.x,0.005,2.7104,0.0,0.0
lambda.x,0.005,2.7174,0.0,0.0
lambda.x,0.005,2.7244,0.0,0.0
lambda.x,0.005,2.7314,0.0,0.0
lambda.x,0.005,2.7384,0.0,0.0
lambda.x,0.005,2.7454,0.0,0.0
lambda.x,0.005,2.7524,0.0,0.0
lambda.x,0.005,2.7594,0.0,0.0
lambda.x,0.005,2.7664,0.0,0.0
lambda.x,0.005,2.7734,0.0,0.0
lambda.x,0.005,2.7804,0.0,0.0
lambda.x,0.005,2.7874,0.0,0.0
lambda.x,0.005,2.7944,0.0,0.0
lambda.x,0.005,2.8014,0.0,0.0
lambda.x,0.005,2.8084,0.0,0.0
lambda.x,0.005,2.8154,0.0,0.0
lambda.x,0.005,2.8224,0.0,0.0
lambda.x,0.005,2.8294,0.0,0.0
lambda.x,0.005,2.8364,0.0,0.0
lambda.x,0.005,2.8434,0.0,0.0
lambda.x,0.005,2.8504,0.0,0.0
lambda.x,0.005,2.8574,0.0,0.0
lambda.x,0.005,2.8644,0.0,0.0
lambda.x,0.005,2.8714,0.0,0.0
lambda.x,0.005,2.8784,0.0,0.0
lambda.x,0.005,2.8854,0.0,0.0
lambda.x,0.005,2.8924,0.0,0.0
lambda.x,0.005,2.8994,0.0,0.0
lambda.x,0.005,2.9065,0.0,0.0
lambda.x,0.005,2.9135,0.0,0.0
lambda.x,0.005,2.9205,0.0,0.0
lambda.x,0.005,2.9275,0.0,0.0
lambda.x,0.005,2.9345,0.0,0.0
lambda.x,0.005,2.9415,0.0,0.0
lambda.x,0.005,2.9485,0.0,0.0
lambda.x,0.005,2.9555,0.0,0.0
lambda.x,0.005,2.9625,0.0,0.0
lambda.x,0.005,2.9695,0.0,0.0
lambda.x,0.005,2.9765,0.0,0.0
lambda.x,0.005,2.9835,0.0,0.0
lambda.x,0.005,2.9905,0.0,0.0
lambda.x,0.005,2.9975,0.0,0.0
lambda.x,0.005,3.0045,0.0,0.0
lambda.x,0.005,3.0115,0.0,0.0
lambda.x,0.005,3.0185,0.0,0.0
lambda.x,0.005,3.0255,0.0,0.0
lambda.x,0.005,3.0325,0.0,0.0
lambda.x,0.005,3.0395,0.0,0.0
lambda.x,0.005,3.0465,0.0,0.0
lambda.x,0.005,3.0535,0.0,0.0
lambda.x,0.005,3.0605,0.0,0.0
lambda.x,0.005,3.0675,0.0,0.0
lambda.x,0.005,3.0745,0.0,0.0
lambda.x,0.005,3.0815,0.0,0.0
lambda.x,0.005,3.0885,0.0,0.0
lambda.x,0.005,3.0955,0.0,0.0
lambda.x,0.005,3.1026,0.0,0.0
lambda.x,0.005,3.1096,0.0,0.0
lambda.x,0.005,3.1166,0.0,0.0
lambda.x,0.005,3.1236,0.0,0.0
lambda.x,0.005,3.1306,0.0,0.0
lambda.x,0.005,3.1376,0.0,0.0
lambda.x,0.005,3.1446,0.0,0.0
lambda.x,0.005,3.1516,0.0,0.0
lambda.x,0.005,3.1586,0.0,0.0
lambda.x,0.005,3.1656,0.0,0.0
lambda.x,0.005,3.1726,0.0,0.0
lambda.x,0.005,3.1796,0.0,0.0
lambda.x,0.005,3.1866,0.0,0.0
lambda.x,0.005,3.1936,0.0,0.0
lambda.x,0.005,3.2006,0.0,0.0
lambda.x,0.005,3.2076,0.0,0.0
lambda.x,0.005,3.2146,1e-05,2.177564860324805e-08
lambda.x,0.005,3.2216,1e-05,6.527963095370282e-08
lambda.x,0.005,3.2286,1e-05,1.0868918876087398e-07
lambda.x,0.005,3.2356,2e-05,1.7363904924066443e-07
lambda.x,0.005,3.2426,2e-05,2.600829154143965e-07
lambda.x,0.005,3.2496,3e-05,3.6788148342531575e-07
lambda.x,0.005,3.2566,4e-05,5.184840638367287e-07
lambda.x,0.005,3.2636,6e-05,7.331555476873991e-07
lambda.x,0.005,3.2706,8e-05,1.0330701950584903e-06
lambda.x,0.005,3.2776,0.00011,1.4392205968280002e-06
lambda.x,0.005,3.2846,0.00015,1.9938222213706213e-06
lambda.x,0.005,3.2916,0.0002,2.738820919693328e-06
lambda.x,0.005,3.2986,0.00027,3.7371163406262023e-06
lambda.x,0.005,3.3057,0.00035,5.070003839508926e-06
lambda.x,0.005,3.3127,0.00047,6.804295507511256e-06
lambda.x,0.005,3.3197,0.00061,9.08370389775282e-06
lambda.x,0.005,3.3267,0.0008,1.2053314570686075e-05
lambda.x,0.005,3.3337,0.00103,1.5899426533089123e-05
lambda.x,0.005,3.3407,0.00132,2.082807601812922e-05
lambda.x,0.005,3.3477,0.00169,2.712773286065467e-05
lambda.x,0.005,3.3547,0.00214,3.512687924816304e-05
lambda.x,0.005,3.3617,0.00269,4.519358884108851e-05
lambda.x,0.005,3.3687,0.00337,5.779762283895541e-05
lambda.x,0.005,3.3757,0.00418,7.346815603484735e-05
lambda.x,0.005,3.3827,0.00516,9.281384877230459e-05
lambda.x,0.005,3.3897,0.00632,0.00011654301212781213
lambda.x,0.005,3.3967,0.00769,0.0001454420491688601
lambda.x,0.005,3.4037,0.00929,0.00018039546284866835
lambda.x,0.005,3.4107,0.01115,0.00022238500744473094
lambda.x,0.005,3.4177,0.01329,0.00027248893320134447
lambda.x,0.005,3.4247,0.01573,0.0003318607147944547
lambda.x,0.005,3.4317,0.0185,0.00040174883498247656
lambda.x,0.005,3.4387,0.0216,0.0004834553388333715
lambda.x,0.005,3.4457,0.02506,0.00057833527345765
lambda.x,0.005,3.4527,0.02887,0.000687776107821338
lambda.x,0.005,3.4597,0.03304,0.0008131568393972128
lambda.x,0.005,3.4667,0.03755,0.0009558279525849594
lambda.x,0.005,3.4737,0.04238,0.0011170510719402116
lambda.x,0.005,3.4807,0.04751,0.0012979996777181205
lambda.x,0.005,3.4877,0.05291,0.0014997397436954853
lambda.x,0.005,3.4947,0.05852,0.0017231504377042892
lambda.x,0.005,3.5018,0.06428,0.001972372019022247
lambda.x,0.005,3.5088,0.07013,0.002240774167170307
lambda.x,0.005,3.5158,0.07599,0.0025319794000092503
lambda.x,0.005,3.5228,0.08178,0.002845777821439576
lambda.x,0.005,3.5298,0.08742,0.0031816431707328004
lambda.x,0.005,3.5368,0.09281,0.003538695745803428
lambda.x,0.005,3.5438,0.09786,0.003915685367259419
lambda.x,0.005,3.5508,0.10249,0.004311033769544678
lambda.x,0.005,3.5578,0.10661,0.004722837224483532
lambda.x,0.005,3.5648,0.11014,0.005148869061389691
lambda.x,0.005,3.5718,0.11302,0.005586641033688062
lambda.x,0.005,3.5788,0.11519,0.0060334445636843785
lambda.x,0.005,3.5858,0.11659,0.0064863524647271326
lambda.x,0.005,3.5928,0.11722,0.006942337547044029
lambda.x,0.005,3.5998,0.11705,0.007398331961130403
lambda.x,0.005,3.6068,0.11608,0.007851227400043131
lambda.x,0.005,3.6138,0.11434,0.008297991747544906
lambda.x,0.005,3.6208,0.11187,0.008735745932098223
