grid,k_index,k1_index,k2_index,k3_index,k1_fraction,k2_fraction,k3_fraction,phase_rad,phase_per_area_A2
6,68,1,5,1,0.166666666667,0.833333333333,0.166666666667,8.863247177697846e-06,8.325172081849294e-05
6,69,1,5,2,0.166666666667,0.833333333333,0.333333333333,2.209646193020575e-06,2.0755017239266018e-05
6,70,1,5,3,0.166666666667,0.833333333333,0.5,2.874246256338658e-06,2.699754865219239e-05
6,71,1,5,4,0.166666666667,0.833333333333,0.666666666667,-1.2136265804543952e-06,-1.1399490415671218e-05
6,72,1,5,5,0.166666666667,0.833333333333,0.833333333333,-1.1282139115722684e-06,-1.0597216540016522e-05
6,73,2,0,0,0.333333333333,0.0,0.0,-3.947377860646066e-06,-3.707738180274513e-05
6,74,2,0,1,0.333333333333,0.0,0.166666666667,2.749233292468478e-06,2.582331260098527e-05
6,75,2,0,2,0.333333333333,0.0,0.333333333333,-2.1826560742122145e-07,-2.0501501367391708e-06
6,76,2,0,3,0.333333333333,0.0,0.5,-5.363968310079493e-07,-5.038329443791631e-06
6,77,2,0,4,0.333333333333,0.0,0.666666666667,-1.7160139298153065e-06,-1.6118371714274565e-05
6,78,2,0,5,0.333333333333,0.0,0.833333333333,4.088998829848991e-06,3.840761542409706e-05
6,79,2,1,0,0.333333333333,0.166666666667,0.0,1.6256079626853006e-07,1.5269196216295501e-06
6,80,2,1,1,0.333333333333,0.166666666667,0.166666666667,7.086194130923635e-07,6.656001391202644e-06
6,81,2,1,2,0.333333333333,0.166666666667,0.333333333333,-1.2390216432848048e-06,-1.1638024063502362e-05
6,82,2,1,3,0.333333333333,0.166666666667,0.5,-1.148034651149684e-06,-1.0783391047466472e-05
6,83,2,1,4,0.333333333333,0.166666666667,0.666666666667,-1.1244850706138036e-07,-1.0562191856598937e-06
6,84,2,1,5,0.333333333333,0.166666666667,0.833333333333,-3.561029858767458e-07,-3.3448448146002087e-06
6,85,2,2,0,0.333333333333,0.333333333333,0.0,9.63455322300504e-07,9.049653237143093e-06
6,86,2,2,1,0.333333333333,0.333333333333,0.166666666667,-3.7246486506384388e-06,-3.4985305429614486e-05
6,87,2,2,2,0.333333333333,0.333333333333,0.333333333333,-6.020080670632673e-07,-5.6546101586494945e-06
6,88,2,2,3,0.333333333333,0.333333333333,0.5,-5.5690206003110895e-06,-5.230933301918349e-05
6,89,2,2,4,0.333333333333,0.333333333333,0.666666666667,-3.4678392620904453e-06,-3.257311686143798e-05
6,90,2,2,5,0.333333333333,0.333333333333,0.833333333333,-2.254065843256513e-06,-2.1172247205457476e-05
6,91,2,3,0,0.333333333333,0.5,0.0,-6.084890175062092e-08,-5.715485170493001e-07
6,92,2,3,1,0.333333333333,0.5,0.166666666667,2.8882085872928134e-07,2.712869562973529e-06
6,93,2,3,2,0.333333333333,0.5,0.333333333333,5.33437951782981e-07,5.010536944921406e-06
6,94,2,3,3,0.333333333333,0.5,0.5,-2.74060930005936e-06,-2.5742308179694697e-05
6,95,2,3,4,0.333333333333,0.5,0.666666666667,-1.4526071993597567e-06,-1.3644214879206659e-05
6,96,2,3,5,0.333333333333,0.5,0.833333333333,4.6858718349973585e-08,4.4013992386452466e-07
6,97,2,4,0,0.333333333333,0.666666666667,0.0,-4.236950262859197e-09,-3.9797310549226237e-08
6,98,2,4,1,0.333333333333,0.666666666667,0.166666666667,-8.682001025051022e-08,-8.154929124645673e-07
6,99,2,4,2,0.333333333333,0.666666666667,0.333333333333,-3.797999843022897e-06,-3.567428689065963e-05
6,100,2,4,3,0.333333333333,0.666666666667,0.5,1.4130300765584896e-06,1.3272470358017969e-05
6,101,2,4,4,0.333333333333,0.666666666667,0.666666666667,-1.3671394914764702e-06,-1.2841424026933033e-05
6,102,2,4,5,0.333333333333,0.666666666667,0.833333333333,1.4330934309252829e-06,1.3460923725383112e-05
6,103,2,5,0,0.333333333333,0.833333333333,0.0,-3.7089848047374255e-06,-3.483817626806111e-05
6,104,2,5,1,0.333333333333,0.833333333333,0.166666666667,1.9446818381742044e-06,1.826622977184353e-05
6,105,2,5,2,0.333333333333,0.833333333333,0.333333333333,3.977732987232249e-06,3.7362504904165764e-05
6,106,2,5,3,0.333333333333,0.833333333333,0.5,-2.8450463170942096e-06,-2.672327612642862e-05
6,107,2,5,4,0.333333333333,0.833333333333,0.666666666667,-1.8269902765665368e-06,-1.7160763024362056e-05
6,108,2,5,5,0.333333333333,0.833333333333,0.833333333333,5.723485976289629e-06,5.376021305211844e-05
6,109,3,0,0,0.5,0.0,0.0,3.5203896991481963e-06,3.3066718611125166e-05
6,110,3,0,1,0.5,0.0,0.166666666667,-3.20966291517673e-06,-3.0148088570533225e-05
6,111,3,0,2,0.5,0.0,0.333333333333,-1.3505448867027979e-06,-1.2685552327090646e-05
6,112,3,0,3,0.5,0.0,0.5,3.163898403079906e-06,2.971822643218892e-05
6,113,3,0,4,0.5,0.0,0.666666666667,2.4303276483738145e-06,2.2827859228499426e-05
6,114,3,0,5,0.5,0.0,0.833333333333,-5.6598251208819435e-06,-5.316225209546106e-05
6,115,3,1,0,0.5,0.166666666667,0.0,7.76352035436468e-08,7.292208105586576e-07
