grid,k_index,axis,neighbor_index,G1,G2,G3,min_singular,max_singular,abs_determinant
4,14,1,30,0,0,0,0.7590132093392522,0.9983223820026069,0.6868650999582337
4,14,2,2,0,1,0,0.8201451498282477,0.9980442864000642,0.677420555243227
4,15,1,31,0,0,0,0.811637297007115,0.9981082305852399,0.7975213079329336
4,15,2,3,0,1,0,0.7915609528596554,0.9976793149910871,0.6942301788342652
4,16,1,32,0,0,0,0.8052186414056123,0.9983140442421505,0.7870089814270034
4,16,2,4,0,1,0,0.6669007873406256,0.998430604605699,0.5783302824888389
4,17,2,21,0,0,0,0.6669013337461388,0.9984305917314574,0.5783320167324395
4,17,1,33,0,0,0,0.9756039830844132,0.9976280034918074,0.9399184886350419
4,18,2,22,0,0,0,0.6668984019787071,0.9984306510700022,0.578328403980134
4,18,1,34,0,0,0,0.8052168373004377,0.9983139981713856,0.7870066719115628
4,19,2,23,0,0,0,0.7590137921664268,0.9983223732562563,0.6868666278242119
4,19,1,35,0,0,0,0.8176437845387815,0.9981644056687513,0.798692202357419
4,20,2,24,0,0,0,0.7590123156212868,0.9983223803989871,0.6868646414088656
4,20,1,36,0,0,0,0.9793299238793992,0.9975448247985045,0.9545065388288365
4,21,2,25,0,0,0,0.8052157645553876,0.9983140401904542,0.7870060569008486
4,21,1,37,0,0,0,0.8052200689871772,0.9983140359022165,0.7870098086250902
4,22,2,26,0,0,0,0.8201454390533459,0.9980442647087842,0.6774210453116016
4,22,1,38,0,0,0,0.8201449841164011,0.9980442815247748,0.6774209293842648
4,23,2,27,0,0,0,0.7590128353504568,0.9983223736985842,0.6868648616236155
4,23,1,39,0,0,0,0.7590127911261872,0.9983223765394913,0.6868645268075304
4,24,2,28,0,0,0,0.8116383142339263,0.9981082572054103,0.7975222843127425
4,24,1,40,0,0,0,0.81163751203798,0.9981082602123512,0.7975215789617803
4,25,2,29,0,0,0,0.9793300578322502,0.9975448819597774,0.9545067993885423
4,25,1,41,0,0,0,0.8176412876032438,0.9981643925048531,0.7986896454719056
4,26,2,30,0,0,0,0.9793302116774031,0.9975448157691126,0.9545071430157697
4,26,1,42,0,0,0,0.7590139930015518,0.9983223645492253,0.6868661117918549
4,27,2,31,0,0,0,0.811637399219654,0.9981082476940487,0.7975214148585881
4,27,1,43,0,0,0,0.7915587178734363,0.997679310065754,0.6942273345437684
4,28,2,32,0,0,0,0.8116393168132936,0.9981082512407922,0.797523216250763
4,28,1,44,0,0,0,0.8116400153599058,0.9981082524525096,0.797523962530509
4,29,1,45,0,0,0,0.9793304221317055,0.997544880531574,0.9545072773013908
4,29,2,17,0,1,0,0.8201424279694707,0.9980442622282952,0.6774181967480677
4,30,1,46,0,0,0,0.811636687815395,0.9981082596647392,0.7975207187185355
4,30,2,18,0,1,0,0.8052188161415876,0.9983140031463608,0.7870087615250778
4,31,1,47,0,0,0,0.8116363363300898,0.9981082437925176,0.7975203068118076
4,31,2,19,0,1,0,0.8116371268531957,0.998108240134042,0.7975211641331887
4,32,1,48,0,0,0,0.9793303653665336,0.9975448110211006,0.9545069493874675
4,32,2,20,0,1,0,0.7590125094622516,0.9983223739965702,0.6868642685688682
4,33,2,37,0,0,0,0.7915613621259123,0.997679398684709,0.6942304115734791
4,33,1,49,0,0,0,0.9756041947224716,0.9976279726619448,0.9399190543898802
4,34,2,38,0,0,0,0.7590155999355465,0.9983223783907872,0.6868677865093361
4,34,1,50,0,0,0,0.9793307451430642,0.9975448725405012,0.954507641226511
4,35,2,39,0,0,0,0.8176439745541673,0.9981644121911994,0.798692417521389
4,35,1,51,0,0,0,0.817641518728658,0.9981644086980647,0.7986902790314306
4,36,2,40,0,0,0,0.8116358580476167,0.9981082575496921,0.7975199513893066
4,36,1,52,0,0,0,0.8052193267814625,0.9983140247497329,0.7870093485362253
4,37,2,41,0,0,0,0.8176427384831761,0.998164352472113,0.7986912427240019
4,37,1,53,0,0,0,0.9793311811860551,0.997544829463107,0.9545079984769499
4,38,2,42,0,0,0,0.7590132351841947,0.9983223650566013,0.686865013085887
4,38,1,54,0,0,0,0.9793300495044833,0.9975448260423897,0.9545062783956654
4,39,2,43,0,0,0,0.7915584960179531,0.9976793181283922,0.6942276167186819
