x_A,z_A,delta_n_e_A3
1.4583333333,0.1388888889,-3.235901195950e-08
1.5277777778,0.1388888889,-2.998357634910e-08
1.5972222222,0.1388888889,-2.826423876380e-08
1.6666666667,0.1388888889,-2.869123658830e-08
1.7361111111,0.1388888889,-3.181204265490e-08
1.8055555556,0.1388888889,-3.684231879530e-08
1.8750000000,0.1388888889,-4.194834739720e-08
1.9444444444,0.1388888889,-4.535883916940e-08
2.0138888889,0.1388888889,-4.710126112050e-08
2.0833333333,0.1388888889,-4.959088849340e-08
2.1527777778,0.1388888889,-5.554409923740e-08
2.2222222222,0.1388888889,-6.518365694550e-08
2.2916666667,0.1388888889,-7.645627458100e-08
2.3611111111,0.1388888889,-8.785719546800e-08
2.4305555556,0.1388888889,-9.901877703100e-08
2.5000000000,0.1388888889,-1.075917563800e-07
2.5694444444,0.1388888889,-1.082788156631e-07
2.6388888889,0.1388888889,-9.872377558258e-08
2.7083333333,0.1388888889,-8.632391178180e-08
2.7777777778,0.1388888889,-8.536566506300e-08
2.8472222222,0.1388888889,-1.048018313216e-07
2.9166666667,0.1388888889,-1.401025059236e-07
2.9861111111,0.1388888889,-1.788044693620e-07
3.0555555556,0.1388888889,-2.125075039290e-07
3.1250000000,0.1388888889,-2.410381577590e-07
3.1944444444,0.1388888889,-2.664419426580e-07
3.2638888889,0.1388888889,-2.876564316940e-07
3.3333333333,0.1388888889,-3.031152274710e-07
3.4027777778,0.1388888889,-3.155641905150e-07
3.4722222222,0.1388888889,-3.307942229750e-07
3.5416666667,0.1388888889,-3.519193364760e-07
3.6111111111,0.1388888889,-3.769669073690e-07
3.6805555556,0.1388888889,-4.018300520600e-07
3.7500000000,0.1388888889,-4.237749866950e-07
3.8194444444,0.1388888889,-4.425711638030e-07
3.8888888889,0.1388888889,-4.609020272900e-07
3.9583333333,0.1388888889,-4.842780967680e-07
4.0277777778,0.1388888889,-5.177724590070e-07
4.0972222222,0.1388888889,-5.607791436630e-07
4.1666666667,0.1388888889,-6.063164917900e-07
4.2361111111,0.1388888889,-6.469974576000e-07
4.3055555556,0.1388888889,-6.800057226500e-07
4.3750000000,0.1388888889,-7.043118008200e-07
4.4444444444,0.1388888889,-7.158317198700e-07
4.5138888889,0.1388888889,-7.108524339000e-07
4.5833333333,0.1388888889,-6.951111934970e-07
4.6527777778,0.1388888889,-6.841126232480e-07
4.7222222222,0.1388888889,-6.899757247340e-07
4.7916666667,0.1388888889,-7.096805138300e-07
4.8611111111,0.1388888889,-7.297697795500e-07
4.9305555556,0.1388888889,-7.410306668900e-07
5.0000000000,0.1388888889,-7.440270169300e-07
5.0694444444,0.1388888889,-7.410325977200e-07
5.1388888889,0.1388888889,-7.297732993800e-07
5.2083333333,0.1388888889,-7.096850277400e-07
5.2777777778,0.1388888889,-6.899805439900e-07
5.3472222222,0.1388888889,-6.841171321660e-07
5.4166666667,0.1388888889,-6.951149763220e-07
5.4861111111,0.1388888889,-7.108553304000e-07
5.5555555556,0.1388888889,-7.158337971600e-07
5.6250000000,0.1388888889,-7.043132670100e-07
5.6944444444,0.1388888889,-6.800068181900e-07
5.7638888889,0.1388888889,-6.469983665800e-07
5.8333333333,0.1388888889,-6.063173001800e-07
5.9027777778,0.1388888889,-5.607798494000e-07
5.9722222222,0.1388888889,-5.177730174020e-07
6.0416666667,0.1388888889,-4.842784744490e-07
6.1111111111,0.1388888889,-4.609022386420e-07
6.1805555556,0.1388888889,-4.425712755000e-07
6.2500000000,0.1388888889,-4.237750928540e-07
6.3194444444,0.1388888889,-4.018302350220e-07
6.3888888889,0.1388888889,-3.769672050490e-07
6.4583333333,0.1388888889,-3.519197312060e-07
6.5277777778,0.1388888889,-3.307946562840e-07
6.5972222222,0.1388888889,-3.155645944730e-07
6.6666666667,0.1388888889,-3.031155577760e-07
6.7361111111,0.1388888889,-2.876566868250e-07
6.8055555556,0.1388888889,-2.664421610740e-07
6.8750000000,0.1388888889,-2.410383963350e-07
6.9444444444,0.1388888889,-2.125078087920e-07
7.0138888889,0.1388888889,-1.788048542820e-07
7.0833333333,0.1388888889,-1.401029473937e-07
7.1527777778,0.1388888889,-1.048022818156e-07
7.2222222222,0.1388888889,-8.536607693110e-08
7.2916666667,0.1388888889,-8.632425986130e-08
7.3611111111,0.1388888889,-9.872406792901e-08
7.4305555556,0.1388888889,-1.082790878253e-07
7.5000000000,0.1388888889,-1.075920524140e-07
7.5694444444,0.1388888889,-9.901912737100e-08
7.6388888889,0.1388888889,-8.785760228800e-08
7.7083333333,0.1388888889,-7.645671163400e-08
7.7777777778,0.1388888889,-6.518408330410e-08
7.8472222222,0.1388888889,-5.554447942200e-08
7.9166666667,0.1388888889,-4.959120920030e-08
7.9861111111,0.1388888889,-4.710153656460e-08
8.0555555556,0.1388888889,-4.535910293910e-08
8.1250000000,0.1388888889,-4.194863522680e-08
8.1944444444,0.1388888889,-3.684265075660e-08
8.2638888889,0.1388888889,-3.181241372380e-08
8.3333333333,0.1388888889,-2.869161954950e-08
8.4027777778,0.1388888889,-2.826459777820e-08
8.4722222222,0.1388888889,-2.998388436270e-08
8.5416666667,0.1388888889,-3.235926341750e-08
8.6111111111,0.1388888889,-3.385191097520e-08
8.6805555556,0.1388888889,-3.328654893200e-08
8.7500000000,0.1388888889,-2.920552373630e-08
8.8194444444,0.1388888889,-1.986160329980e-08
8.8888888889,0.1388888889,-5.596292965400e-09
8.9583333333,0.1388888889,8.766529959620e-09
9.0277777778,0.1388888889,1.617201152858e-08
9.0972222222,0.1388888889,1.372880573190e-08
9.1666666667,0.1388888889,5.955553776400e-09
9.2361111111,0.1388888889,8.144314884000e-12
9.3055555556,0.1388888889,-1.758245804200e-09
9.3750000000,0.1388888889,-2.606231997800e-09
9.4444444444,0.1388888889,-5.156121336900e-09
9.5138888889,0.1388888889,-7.128708314750e-09
9.5833333333,0.1388888889,-4.806973746548e-09
9.6527777778,0.1388888889,1.228869397330e-09
9.7222222222,0.1388888889,6.278195418550e-09
9.7916666667,0.1388888889,6.919696418720e-09
9.8611111111,0.1388888889,4.140684807515e-09
9.9305555556,0.1388888889,1.108673820450e-09
0.0000000000,0.2083333333,1.224170180700e-09
0.0694444444,0.2083333333,1.309402312000e-10
0.1388888889,0.2083333333,-1.114262444000e-09
0.2083333333,0.2083333333,1.248603497000e-10
0.2777777778,0.2083333333,2.311106003236e-09
0.3472222222,0.2083333333,1.583948185660e-09
0.4166666667,0.2083333333,-2.261681241600e-09
0.4861111111,0.2083333333,-4.988511461290e-09
0.5555555556,0.2083333333,-3.965293478000e-09
0.6250000000,0.2083333333,-2.147340560200e-09
0.6944444444,0.2083333333,-3.865548714500e-09
0.7638888889,0.2083333333,-8.338603924240e-09
0.8333333333,0.2083333333,-1.023858596570e-08
0.9027777778,0.2083333333,-6.690444026470e-09
0.9722222222,0.2083333333,-1.400828040331e-09
1.0416666667,0.2083333333,-8.953445538000e-10
1.1111111111,0.2083333333,-7.914736244390e-09
