z_A,delta_n_e_A3,delta_N_e_A,cumulative_e
7.7777777778,-1.497823089355e-05,-1.497823089355e-03,5.294446366746e-04
7.8472222222,-1.232877609861e-05,-1.232877609861e-03,4.346286401740e-04
7.9166666667,-1.015168737770e-05,-1.015168737770e-03,3.565714753257e-04
7.9861111111,-8.351399307144e-06,-8.351399307144e-04,2.923246465589e-04
8.0555555556,-6.855393735000e-06,-6.855393735000e-04,2.395232818293e-04
8.1250000000,-5.612256944893e-06,-5.612256944893e-04,1.962328280796e-04
8.1944444444,-4.584471593748e-06,-4.584471593748e-04,1.608275206538e-04
8.2638888889,-3.741810084130e-06,-3.741810084130e-04,1.319168203834e-04
8.3333333333,-3.057499603310e-06,-3.057499603310e-04,1.083081061909e-04
8.4027777778,-2.505664011455e-06,-2.505664011455e-04,8.899156586184e-05
8.4722222222,-2.059841788119e-06,-2.059841788119e-04,7.313911516888e-05
8.5416666667,-1.694700821532e-06,-1.694700821532e-04,6.010250888537e-05
8.6111111111,-1.390625595166e-06,-1.390625595166e-04,4.938956993850e-05
8.6805555556,-1.136396333733e-06,-1.136396333733e-04,4.061518824094e-05
8.7500000000,-9.264256147203e-07,-9.264256147203e-05,3.345261203103e-05
8.8194444444,-7.556535860068e-07,-7.556535860068e-05,2.761205925073e-05
8.8888888889,-6.178348804180e-07,-6.178348804180e-05,2.284300207564e-05
8.9583333333,-5.074615337652e-07,-5.074615337652e-05,1.893572285973e-05
9.0277777778,-4.204005036956e-07,-4.204005036956e-05,1.571397967410e-05
9.0972222222,-3.516033371967e-07,-3.516033371967e-05,1.303341078211e-05
9.1666666667,-2.943774847857e-07,-2.943774847857e-05,1.079042181690e-05
9.2361111111,-2.439632464452e-07,-2.439632464452e-05,8.921183166789e-06
9.3055555556,-2.006424081785e-07,-2.006424081785e-05,7.377413532679e-06
9.3750000000,-1.669400071123e-07,-1.669400071123e-05,6.101085701808e-06
9.4444444444,-1.421564401793e-07,-1.421564401793e-05,5.027834148712e-06
9.5138888889,-1.221818883456e-07,-1.221818883456e-05,4.109992730223e-06
9.5833333333,-1.048461426512e-07,-1.048461426512e-05,3.321700955928e-06
9.6527777778,-9.220584931943e-08,-9.220584931943e-06,2.637492650474e-06
9.7222222222,-8.560759742395e-08,-8.560759742395e-06,2.020084849282e-06
9.7916666667,-8.113195846758e-08,-8.113195846758e-06,1.441128057992e-06
9.8611111111,-7.351547509450e-08,-7.351547509450e-06,9.041578025683e-07
9.9305555556,-6.380437008911e-08,-6.380437008911e-06,4.273527845697e-07
10.0000000000,-5.914758788701e-08,-5.914758788701e-06,4.362638192728e-10
