# z_A  planar_potential_eV
16.4375000000 -3.371954010553
16.5000000000 -4.370450453615
16.5625000000 -5.211141535027
16.6250000000 -5.921356181393
16.6875000000 -6.583330178027
16.7500000000 -7.278728418932
16.8125000000 -8.033705534232
16.8750000000 -8.846534540054
16.9375000000 -9.697223202741
17.0000000000 -10.556683336373
17.0625000000 -11.400580663824
17.1250000000 -12.224472512278
17.1875000000 -13.048010345441
17.2500000000 -13.914098473456
17.3125000000 -14.867797081781
17.3750000000 -15.931876095938
17.4375000000 -17.073578588523
17.5000000000 -18.194275335940
17.5625000000 -19.150521880147
17.6250000000 -19.914535080448
17.6875000000 -20.481856921875
17.7500000000 -20.827643324207
17.8125000000 -20.943437296968
17.8750000000 -20.822768137949
17.9375000000 -20.471315824301
18.0000000000 -19.897679036461
18.0625000000 -19.124497623299
18.1250000000 -18.163786520154
18.1875000000 -17.027850606759
18.2500000000 -15.849785963465
18.3125000000 -14.743194652237
18.3750000000 -13.749199659603
18.4375000000 -12.853773971989
18.5000000000 -12.011968869223
18.5625000000 -11.179090700604
18.6250000000 -10.329202643607
18.6875000000 -9.461980591349
18.7500000000 -8.597100869573
18.8125000000 -7.762566988537
18.8750000000 -6.979193950126
18.9375000000 -6.251251935455
19.0000000000 -5.557186404313
19.0625000000 -4.818737683207
19.1250000000 -3.951389043007
19.1875000000 -2.919470462704
19.2500000000 -1.782092532318
19.3125000000 -0.596255176338
19.3750000000 0.557207759218
19.4375000000 1.585835921956
19.5000000000 2.408279324075
19.5625000000 2.996268226767
19.6250000000 3.383974499068
19.6875000000 3.686095793618
19.7500000000 3.955531192065
19.8125000000 4.167946130636
19.8750000000 4.338991645621
19.9375000000 4.473926846844
20.0000000000 4.582889554909
20.0625000000 4.669049246597
20.1250000000 4.738966268950
20.1875000000 4.794320504270
20.2500000000 4.839524769710
20.3125000000 4.875292757069
20.3750000000 4.904713794387
20.4375000000 4.927919747193
20.5000000000 4.947175947469
20.5625000000 4.962274830757
20.6250000000 4.974951032198
20.6875000000 4.984798400411
20.7500000000 4.993196596518
20.8125000000 4.999625703036
20.8750000000 5.005224387285
20.9375000000 5.009414573057
21.0000000000 5.013170232873
21.0625000000 5.015889082951
21.1250000000 5.018428755430
21.1875000000 5.020180844005
21.2500000000 5.021917244860
21.3125000000 5.023033335543
21.3750000000 5.024236538584
21.4375000000 5.024932457808
21.5000000000 5.025779666114
21.5625000000 5.026197573977
21.6250000000 5.026806712281
21.6875000000 5.027041434068
21.7500000000 5.027491369098
21.8125000000 5.027605727683
21.8750000000 5.027948630075
21.9375000000 5.027983742253
22.0000000000 5.028253953316
22.0625000000 5.028236934564
22.1250000000 5.028457637466
22.1875000000 5.028406771783
22.2500000000 5.028593701172
22.3125000000 5.028521164381
22.3750000000 5.028684830004
22.4375000000 5.028598534095
22.5000000000 5.028745899621
22.5625000000 5.028651036280
22.6250000000 5.028786875322
22.6875000000 5.028686956378
22.7500000000 5.028814598044
22.8125000000 5.028711955556
22.8750000000 5.028833633652
22.9375000000 5.028729815584
23.0000000000 5.028847074434
23.0625000000 5.028742880517
23.1250000000 5.028856725245
23.1875000000 5.028752819989
23.2500000000 5.028864071554
23.3125000000 5.028760868484
23.3750000000 5.028870059408
23.4375000000 5.028767757610
23.5000000000 5.028875215031
23.5625000000 5.028773870876
23.6250000000 5.028879875015
23.6875000000 5.028779557936
23.7500000000 5.028884350796
23.8125000000 5.028785116577
23.8750000000 5.028888880242
23.9375000000 5.028790700492
24.0000000000 5.028893550544
24.0625000000 5.028796379160
24.1250000000 5.028898404033
24.1875000000 5.028802222162
24.2500000000 5.028903529484
24.3125000000 5.028808313872
24.3750000000 5.028908952671
24.4375000000 5.028814684764
24.5000000000 5.028915181642
24.5625000000 5.028822111432
24.6250000000 5.028922045169
24.6875000000 5.028829737499
24.7500000000 5.028929132932
24.8125000000 5.028837521122
24.8750000000 5.028936395134
24.9375000000 5.028845441437
25.0000000000 5.028943841697
25.0625000000 5.028853503445
25.1250000000 5.028951458469
25.1875000000 5.028861704588
25.2500000000 5.028959269826
25.3125000000 5.028870075922
25.3750000000 5.028967266555
25.4375000000 5.028878580008
25.5000000000 5.028975413110
25.5625000000 5.028887197165
25.6250000000 5.028983685143
25.6875000000 5.028895898210
25.7500000000 5.028992067291
25.8125000000 5.028904688429
25.8750000000 5.029000586803
25.9375000000 5.028913614486
26.0000000000 5.029009237479
26.0625000000 5.028922607139
26.1250000000 5.029017963005
26.1875000000 5.028931625682
26.2500000000 5.029026726621
26.3125000000 5.028940682564
26.3750000000 5.029035546250
26.4375000000 5.028949785644
26.5000000000 5.029044433224
26.5625000000 5.028958910490
26.6250000000 5.029053321856
26.6875000000 5.028967977797
26.7500000000 5.029062159517
26.8125000000 5.028976971381
26.8750000000 5.029070932200
26.9375000000 5.028985903819
27.0000000000 5.029079642927
27.0625000000 5.028994731286
27.1250000000 5.029088274640
27.1875000000 5.029003460530
27.2500000000 5.029096784856
27.3125000000 5.029012064847
27.3750000000 5.029105236553
27.4375000000 5.029020575006
27.5000000000 5.029113541629
27.5625000000 5.029028892894
27.6250000000 5.029121651656
27.6875000000 5.029036998082
27.7500000000 5.029129563573
