case,z_A,potential_eV
k16-minus005,21.378281267609818,4.299182002455098
k16-minus005,21.45075001756009,4.2991641653914145
k16-minus005,21.52321876751036,4.299183349418718
k16-minus005,21.59568751746063,4.299163607557996
k16-minus005,21.668156267410904,4.299183812012284
k16-minus005,21.74062501789035,4.299163906883246
k16-minus005,21.813093767840623,4.299183403841491
k16-minus005,21.885562517790895,4.299165049761467
k16-minus005,21.958031267741163,4.299182152117724
k16-minus005,22.030500018220614,4.299166940952811
k16-minus005,22.102968768170882,4.299180192897913
k16-minus005,22.175437518121157,4.29916941718896
k16-minus005,22.24790626807143,4.299177703056072
k16-minus005,22.320375018021696,4.299172274384516
k16-minus005,22.392843768501148,4.299174927494675
k16-minus005,22.465312518451416,4.299175281242697
k16-minus005,22.537781268401687,4.299172097510505
k16-minus005,22.610250018351962,4.299178179255331
k16-minus005,22.68271876830223,4.299169458006039
k16-minus005,22.755187518781682,4.2991807371256385
k16-minus005,22.82765626873195,4.299167253883754
k16-minus005,22.90012501868222,4.2991827371625275
k16-minus005,22.972593768632496,4.299165662017658
k16-minus005,23.045062518582764,4.299184002491988
k16-minus005,23.117531269062216,4.299164845676071
k16-plus005,0.0,4.262005792960137
k16-plus005,0.07246874995027121,4.2619900375675
k16-plus005,0.14493749990054242,4.262005439212116
k16-plus005,0.21740625037999084,4.261990704246464
k16-plus005,0.2898750003302621,4.262004405179439
k16-plus005,0.3623437502805333,4.261991983181617
k16-plus005,0.4348125002308045,4.262002786101958
k16-plus005,0.5072812501810757,4.261993765527417
k16-plus005,0.5797500001313469,4.26200070443091
k16-plus005,0.6522187506107954,4.261995874409851
k16-plus005,0.7246875005610666,4.261998350645999
k16-plus005,0.7971562505113378,4.261998146560602
k16-plus005,0.869625000461609,4.2619959152269296
k16-plus005,0.9420937504118803,4.262000377894274
k16-plus005,1.0145625003621515,4.261993602259099
k16-plus005,1.0870312508416,4.262002350719777
k16-plus005,1.1595000007918712,4.2619915886165165
k16-plus005,1.2319687507421422,4.2620038881631
k16-plus005,1.3044375006924134,4.261990064778887
k16-plus005,1.3769062506426846,4.262004854167311
k16-plus005,1.449375000592956,4.261989139591755
k16-plus005,1.5218437510724045,4.262005139886868
k16-plus005,1.5943125010226755,4.261988894689278
k16-plus005,1.6667812509729467,4.262004704504687
k16-plus005,1.739250000923218,4.261989330071459
k16-plus005,1.811718750873489,4.262003561626465
k16-plus005,1.8841875008237605,4.261990418526907
k16-plus005,1.9566562513032089,4.2620017792806655
k16-plus005,2.02912500125348,4.2619920512100835
k16-plus005,2.1015937512037515,4.261999507129914
k16-plus005,2.1740625011540224,4.261994064852665
k16-plus005,2.2465312511042934,4.261996894836835
k16-plus005,2.319000001054565,4.261996268974951
k16-plus005,2.3914687515340134,4.2619941600925175
k16-plus005,2.4639375014842844,4.2619984594915445
k16-plus005,2.536406251434556,4.2619915069823575
k16-plus005,2.6088750013848268,4.262000418711353
k16-plus005,2.681343751335098,4.261989153197447
k16-plus005,2.753812501285369,4.262001956154676
k16-plus005,2.8262812517648177,4.2619872620061034
k16-plus005,2.8987500017150887,4.262002894947502
k16-plus005,2.97121875166536,4.261986010282336
k16-plus005,3.0436875016156315,4.262003099032898
k16-plus005,3.1161562515659025,4.261985452448918
k16-plus005,3.188625001516174,4.262002513988094
k16-plus005,3.261093751995622,4.261985629322929
k16-plus005,3.3335625019458934,4.262001126207395
k16-plus005,3.406031251896165,4.261986500087289
k16-plus005,3.478500001846436,4.261999003719269
k16-plus005,3.5509687517967072,4.2619879695021465
k16-plus005,3.623437501746978,4.261996255369258
k16-plus005,3.6959062522264268,4.261989833482104
k16-plus005,3.7683750021766977,4.261993044425681
k16-plus005,3.840843752126969,4.261991887941765
k16-plus005,3.9133125020772406,4.2619895613682415
k16-plus005,3.9857812520275115,4.261993860767268
k16-plus005,4.0582500019777825,4.261986010282336
k16-plus005,4.1307187524572315,4.261995466239056
k16-plus005,4.203187502407503,4.26198254083059
k16-plus005,4.275656252357774,4.261996391426189
k16-plus005,4.348125002308045,4.2619793162813195
k16-plus005,4.420593752258315,4.261996337003416
k16-plus005,4.493062502208587,4.261976350240219
k16-plus005,4.565531252688036,4.261994962828411
k16-plus005,4.638000002638307,4.261973561073129
k16-plus005,4.710468752588579,4.261991942364538
k16-plus005,4.782937502538849,4.261970472580789
k16-plus005,4.855406252489121,4.261985969465257
k16-plus005,4.927875002968569,4.261965969096366
k16-plus005,5.00034375291884,4.2619771801874995
