case,window_invA,mx_me,my_me,md_me,shift_x_invA,shift_y_invA,CBM_eV,fit_RMS_eV,fit_max_residual_eV,Hxy_eVA2
plus010,0.01,0.45133545173893774,0.4310325955362676,0.4410672184833483,0.007262281731533852,-5.749998345264419e-09,-0.0963829242470274,4.453810469566276e-06,7.716433186213956e-06,1.0319773762257457e-05
plus010,0.02,0.452887777047149,0.4317797188779727,0.4422078211165971,0.0073057483266896,6.44968021660827e-10,-0.096381312511944,3.187482112678399e-05,6.191340648073473e-05,7.477008183018352e-07
plus010,0.03,0.4558972665109828,0.4346479426540911,0.4451458288590634,0.00738266288010661,1.9700584155505685e-11,-0.09636240494360594,9.498848283829196e-05,0.00020039107048955285,3.164564748966519e-07
vacuum28-minus005,0.01,0.4573039390525857,0.46767943664506456,0.4624625915592465,-0.003487395799673579,1.918968417614119e-09,-0.6804630175505358,5.507335184476164e-06,9.642247323249364e-06,3.971187823039938e-06
vacuum28-minus005,0.02,0.45875701568017696,0.4689660518482442,0.463833446833254,-0.0034520633595067525,9.35625922290006e-10,-0.6804553237560859,2.9614229490678412e-05,5.992355699735441e-05,-1.3325447950075627e-06
vacuum28-minus005,0.03,0.4620156649096943,0.4721665442104596,0.46706352873191526,-0.0034050438303961203,-2.664872241651446e-10,-0.6804269277966359,8.902111820837275e-05,0.00019972812869084589,-7.796495853574398e-07
vacuum28-plus005,0.01,0.4515121019564338,0.44128635991896503,0.44636994962891324,0.003615016579229691,-8.881156036138388e-10,-0.7932344042215547,5.172356032714721e-06,8.961387041206414e-06,2.2190577167825314e-06
vacuum28-plus005,0.02,0.45349524431476124,0.442996836773903,0.4482153039817445,0.0036542570345376945,1.0823819653036926e-09,-0.7932294757591148,3.2075017851606336e-05,6.375716580830915e-05,6.150823051485086e-08
vacuum28-plus005,0.03,0.4567558020352368,0.44609803813377,0.4513954665192555,0.0037228208641039125,1.4028898477847678e-10,-0.7932062850890378,9.375704182039588e-05,0.0002017757976517931,-8.983849090327981e-07
vacuum28-zero,0.01,0.45491161056851176,0.4530226297429,0.4539661376361971,3.662591950872106e-05,5.956124286348264e-11,-0.7370481346251275,6.561629196867995e-06,1.2614361481921854e-05,1.4270518801107447e-06
vacuum28-zero,0.02,0.45546691609037965,0.45531922306781913,0.4553930635916272,7.040619867612922e-05,3.444809331709636e-10,-0.7370423009405513,3.316574618134094e-05,6.749701869535052e-05,8.423148658934431e-07
vacuum28-zero,0.03,0.4587899227143321,0.458667255999201,0.4587285852565418,0.0001273849802491781,3.609806112798136e-10,-0.7370156536866186,9.282679588888002e-05,0.00020043367253552713,7.83215032240485e-08
zero,0.01,0.45444614613586326,0.45471246278793787,0.45457928495910044,2.560123752940156e-05,-2.2897226725836738e-09,0.022172588993759075,4.543397079072445e-06,8.607535101394503e-06,1.4141009224159214e-06
zero,0.02,0.4560118247455952,0.4559465055835881,0.4559791639949692,6.659653068904663e-05,-1.226809186630084e-09,0.022177867166625027,3.164977028524813e-05,6.14986367195626e-05,-1.2565446092228515e-06
zero,0.03,0.45893936618406683,0.4589364866081122,0.45893792639383113,0.00012499550864600306,-6.094468692460792e-10,0.022201726043026494,9.177831588345768e-05,0.00019741314053896286,-2.0659789278941693e-07
