case,point,kind,offsetx_invA,offsety_invA,k1,k2,k3,valence_eV,conduction_eV,conduction_vac_eV
minus005,83,Gamma-K3,0.25,0,0.08333333333333333,-0.16666666666666666,0.0,-1.8503498488970782,0.7592658252660165,-3.539902611675272
minus005,84,Gamma-K3,0.3,0,0.09999999999999999,-0.19999999999999998,0.0,-1.9590643812165143,0.6215300672745201,-3.6776383696667683
minus005,85,Gamma-K3,0.35,0,0.11666666666666665,-0.2333333333333333,0.0,-2.0900329118257406,0.5052770254131423,-3.793891411528146
minus005,86,Gamma-K3,0.4,0,0.13333333333333333,-0.26666666666666666,0.0,-2.2265139500357827,0.4082075187710552,-3.890960918170233
minus005,87,Gamma-K3,0.44999999999999996,0,0.14999999999999997,-0.29999999999999993,0.0,-2.3416022096546003,0.3351947996240421,-3.9639736373172463
minus005,88,Gamma-K3,0.5,0,0.16666666666666666,-0.3333333333333333,0.0,-2.40799989992,0.29982631328690584,-3.9993421236543827
minus005,89,Gamma-K3,0.55,0,0.18333333333333335,-0.3666666666666667,0.0,-2.4179918681121357,0.3152577331252407,-3.9839107038160475
minus005,90,Gamma-K3,0.6,0,0.19999999999999998,-0.39999999999999997,0.0,-2.385325112500073,0.38342740330883857,-3.91574103363245
minus005,91,Gamma-K3,0.6499999999999999,0,0.21666666666666662,-0.43333333333333324,0.0,-2.3235254548846918,0.4840900538314445,-3.815078383109844
minus005,92,Gamma-K3,0.7,0,0.2333333333333333,-0.4666666666666666,0.0,-2.236977777901567,0.5616977365025969,-3.7374707004386916
minus005,93,Gamma-K3,0.75,0,0.25,-0.5,0.0,-2.1271648189237538,0.5547721670014073,-3.744396269939881
minus005,94,Gamma-K3,0.7999999999999999,0,0.2666666666666666,-0.5333333333333332,0.0,-1.9994394265442712,0.4687047233519663,-3.8304637135893222
minus005,95,Gamma-K3,0.85,0,0.2833333333333333,-0.5666666666666667,0.0,-1.865906936771981,0.3418492905731694,-3.957319146368119
minus005,96,Gamma-K3,0.8999999999999999,0,0.29999999999999993,-0.5999999999999999,0.0,-1.7455483411108055,0.212038596078446,-4.0871298408628425
minus005,97,Gamma-K3,0.95,0,0.31666666666666665,-0.6333333333333333,0.0,-1.66163078020661,0.11592356245333006,-4.183244874487959
minus010,1,K-local,-0.03,-0.03,0.3182888908232592,0.32769508044746165,0.0,-1.6112434285829433,0.1539141689747085,-4.164121745426391
minus010,2,K-local,-0.03,-0.02,0.3182888908232592,0.3320819051610979,0.0,-1.6078503332286946,0.14985181543674808,-4.168184098964351
minus010,3,K-local,-0.03,-0.01,0.3182888908232592,0.3364687298747342,0.0,-1.605797834285732,0.14740448471397086,-4.170631429687128
minus010,4,K-local,-0.03,0,0.3182888908232592,0.3408555545883704,0.0,-1.6051092019695266,0.14658216284227754,-4.171453751558821
minus010,5,K-local,-0.03,0.01,0.3182888908232592,0.3452423793020067,0.0,-1.6057978351043645,0.1474044863847952,-4.1706314280163035
minus010,6,K-local,-0.03,0.02,0.3182888908232592,0.34962920401564296,0.0,-1.6078503333293048,0.149851812199957,-4.168184102201142
minus010,7,K-local,-0.03,0.03,0.3182888908232592,0.35401602872927923,0.0,-1.6112434287303474,0.15391416775306455,-4.164121746648035
minus010,8,K-local,-0.02,-0.03,0.32330370499328387,0.32518767336244925,0.0,-1.6083287236573371,0.150963494736037,-4.167072419665062
minus010,9,K-local,-0.02,-0.02,0.32330370499328387,0.3295744980760855,0.0,-1.6050099451212403,0.1469315993662085,-4.17110431503489
minus010,10,K-local,-0.02,-0.01,0.32330370499328387,0.3339613227897218,0.0,-1.603002259596166,0.14450068232962673,-4.1735352320714725
minus010,11,K-local,-0.02,0,0.32330370499328387,0.33834814750335807,0.0,-1.6023348518923404,0.14368702660150076,-4.1743488877995985
minus010,12,K-local,-0.02,0.01,0.32330370499328387,0.34273497221699434,0.0,-1.6030022607997936,0.1445006823081499,-4.173535232092949
minus010,13,K-local,-0.02,0.02,0.32330370499328387,0.3471217969306306,0.0,-1.6050099423245023,0.14693159588826424,-4.1711043185128345
minus010,14,K-local,-0.02,0.03,0.32330370499328387,0.3515086216442669,0.0,-1.60832872501939,0.15096349443475168,-4.167072419966347
minus010,15,K-local,-0.01,-0.03,0.3283185191633086,0.3226802662774369,0.0,-1.606691931264519,0.14958183976897593,-4.168454074632123
minus010,16,K-local,-0.01,-0.02,0.3283185191633086,0.3270670909910732,0.0,-1.6034579710229204,0.14559642266190728,-4.172439491739191
minus010,17,K-local,-0.01,-0.01,0.3283185191633086,0.33145391570470945,0.0,-1.6015056013801328,0.1431899941993061,-4.1748459202017925
minus010,18,K-local,-0.01,0,0.3283185191633086,0.33584074041834566,0.0,-1.6008486435100586,0.14238719654130727,-4.175648717859792
minus010,19,K-local,-0.01,0.01,0.3283185191633086,0.34022756513198193,0.0,-1.601505602283337,0.1431899932434635,-4.174845921157635
minus010,20,K-local,-0.01,0.02,0.3283185191633086,0.3446143898456182,0.0,-1.60345797133992,0.1455964211651155,-4.172439493235983
minus010,21,K-local,-0.01,0.03,0.3283185191633086,0.3490012145592545,0.0,-1.6066919311462802,0.1495818405231825,-4.168454073877917
minus010,22,K-local,0,-0.03,0.33333333333333337,0.32017285919242455,0.0,-1.6063780271627612,0.14981667847655208,-4.168219235924547
minus010,23,K-local,0,-0.02,0.33333333333333337,0.3245596839060608,0.0,-1.6032422811389528,0.14588429737852426,-4.172151617022575
minus010,24,K-local,0,-0.01,0.33333333333333337,0.3289465086196971,0.0,-1.601348652304375,0.14351149279919218,-4.174524421601907
minus010,25,K-local,0,0,0.33333333333333337,0.33333333333333326,0.0,-1.6007139873613765,0.14272186682926113,-4.175314047571838
minus010,26,K-local,0,0.01,0.33333333333333337,0.33772015804696953,0.0,-1.6013486510184078,0.14351148859749907,-4.1745244258036
minus010,27,K-local,0,0.02,0.33333333333333337,0.3421069827606058,0.0,-1.603242283915717,0.14588429410266018,-4.172151620298439
minus010,28,K-local,0,0.03,0.33333333333333337,0.3464938074742421,0.0,-1.6063780271228243,0.1498166761026355,-4.168219238298463
minus010,29,K-local,0.01,-0.03,0.33834814750335807,0.31766545210741215,0.0,-1.607437469469615,0.15168413171128722,-4.166351782689811
