cell,ik,band,energy_eV,native_weight,even_weight,odd_weight,norm,native_minus_even
primitive,13,8,16.384354685707734,1.0,1.0000000000000053,0.0,1.0000000000000053,-5.329070518200751e-15
primitive,14,1,-1.5983849586969046,1.0,1.0,0.0,1.0,0.0
primitive,14,2,-1.5983849413998457,1.0,1.0,0.0,1.0,0.0
primitive,14,3,3.233563489346852,1.0,1.0000000000000002,0.0,1.0000000000000002,-2.220446049250313e-16
primitive,14,4,3.2335634910232773,1.0,0.9999999999999992,0.0,0.9999999999999992,7.771561172376096e-16
primitive,14,5,7.029055494501069,1.0,1.0,0.0,1.0,0.0
primitive,14,6,7.0290555433052235,1.0,0.9999999999999991,0.0,0.9999999999999991,8.881784197001252e-16
primitive,14,7,16.06762278134389,1.0,1.0000000000000029,0.0,1.0000000000000029,-2.886579864025407e-15
primitive,14,8,16.067622858911037,1.0,1.0000000000000049,0.0,1.0000000000000049,-4.884981308350689e-15
primitive,15,1,-1.568021679966708,1.0,1.0000000000000007,0.0,1.0000000000000007,-6.661338147750939e-16
primitive,15,2,-1.5680216652666676,1.0,1.0000000000000004,0.0,1.0000000000000004,-4.440892098500626e-16
primitive,15,3,3.0049684656058684,1.0,1.0000000000000002,0.0,1.0000000000000002,-2.220446049250313e-16
primitive,15,4,3.0049684741140936,1.0,1.0000000000000007,0.0,1.0000000000000007,-6.661338147750939e-16
primitive,15,5,7.4885608917741395,1.0,0.9999999999999973,0.0,0.9999999999999973,2.6645352591003757e-15
primitive,15,6,7.488560951088046,1.0,0.9999999999999993,0.0,0.9999999999999993,6.661338147750939e-16
primitive,15,7,15.16648729538402,1.0,0.9999999999999917,0.0,0.9999999999999917,8.326672684688674e-15
primitive,15,8,15.16648730011934,1.0,0.9999999999999941,0.0,0.9999999999999941,5.88418203051333e-15
primitive,16,1,-1.5247449354842169,1.0,1.0000000000000004,0.0,1.0000000000000004,-4.440892098500626e-16
primitive,16,2,-1.5247449085209592,1.0,0.9999999999999991,0.0,0.9999999999999991,8.881784197001252e-16
primitive,16,3,2.735201934146824,1.0,0.9999999999999997,0.0,0.9999999999999997,3.3306690738754696e-16
