ik,primitive_bands,supercell_bands,expected_weight,measured_weight,primitive_mean_eV,supercell_weighted_mean_eV,delta_eV,weight_error
26,7,13,1,0.9999999998886681,10.049680096381953,10.049680007486371,-8.889558245073204e-08,-1.1133194366408361e-10
26,8,14,1,0.9999999996308614,14.225621872263726,14.22562185607076,-1.6192966967309985e-08,-3.691386085691306e-10
27,1,1,1,0.9999999999990937,-3.403036824996845,-3.403036978976781,-1.5397993635701823e-07,-9.062750550015153e-13
27,2,4,1,0.9999999999952687,-0.8135020184527655,-0.8135021322753176,-1.1382255216130233e-07,-4.731326441742567e-12
27,3,7,1,0.9999999999130049,4.774959295163383,4.77495913599701,-1.591663725264425e-07,-8.699507780818294e-11
27,4,8,1,0.99999999995346,4.964379088826108,4.964378923298374,-1.6552773463018866e-07,-4.653999408077425e-11
27,5,11,1,0.9999999994699292,8.00552291696665,8.005522789457842,-1.27508807068466e-07,-5.300707650590653e-10
27,6,12,1,0.9999999999803859,9.510575849852358,9.510575771823868,-7.802849033566872e-08,-1.9614088131447716e-11
27,7,13,1,0.9999999999790425,9.67264640355852,9.67264632306263,-8.049589084180298e-08,-2.0957457991244155e-11
27,8,14,1,0.9999999999074459,13.951918354993666,13.951918366747922,1.1754256235008143e-08,-9.255407551478356e-11
28,1,1,1,0.9999999999791732,-3.430445165979304,-3.4304453194212305,-1.5344192672017698e-07,-2.0826784741245774e-11
28,2,4,1,0.9999999999833156,-0.8291418089461727,-0.8291419223949987,-1.1344882600017314e-07,-1.6684431614066852e-11
28,3;4,7;8,2,1.9999999999451674,5.0165583473331505,5.016558181296877,-1.6603627361888584e-07,-5.483258291860693e-11
28,5,11,1,0.9999999992563393,7.7891193955539535,7.789119270776808,-1.2477714506076154e-07,-7.436606885846686e-10
28,6;7,12;13,2,1.9999999999188516,9.561013549339883,9.561013470062049,-7.927783407524203e-08,-8.114842131590194e-11
28,8,14,1,0.9999999999263985,13.823152352979792,13.823152373030547,2.0050755722422764e-08,-7.360145826140752e-11
29,1,1,1,0.9999999999389853,-3.5303793918710538,-3.5303795430831517,-1.5121209795410095e-07,-6.101474880892965e-11
29,2,4,1,0.9999999999781599,-0.6856251015482756,-0.6856252173652374,-1.1581696179874257e-07,-2.1840085295821154e-11
29,3;4,7;8,2,1.9999999999376428,5.0291339538567765,5.029133787920093,-1.659366839490417e-07,-6.235723049030639e-11
29,5,11,1,0.9999999991033641,7.803346903848646,7.8033467802761445,-1.235725015646949e-07,-8.966358766571147e-10
29,6;7,12;13,2,1.9999999999775349,9.576016130417088,9.576016049914992,-8.0502095656243e-08,-2.2465140858685118e-11
29,8,14,1,0.9999999998061908,13.846725843952928,13.846725863130162,1.917723402300453e-08,-1.938091909181594e-10
30,1,1,1,0.9999999999922174,-3.7793155529623905,-3.77931569974312,-1.4678072934870556e-07,-7.782552380319885e-12
30,2,4,1,0.9999999999885647,-0.3066411034191341,-0.3066412246936085,-1.2127447440724026e-07,-1.1435297153639112e-11
30,3;4,7;8,2,1.999999999876641,5.066789653182305,5.0667894871378545,-1.660444501894176e-07,-1.233591007121504e-10
30,5,11,1,0.999999997016033,7.845676333525168,7.8456762087862195,-1.2473894805964392e-07,-2.983966962410989e-09
30,6;7,12;13,2,1.9999999999685674,9.61807163773193,9.61807155564384,-8.208808921494892e-08,-3.143263427318743e-11
30,8,14,1,0.9999999998752718,13.912321363770706,13.912321378796952,1.5026245137050864e-08,-1.2472822774611814e-10
31,1,1,1,0.9999999999064946,-4.093119098745457,-4.093119240575048,-1.4182959073849588e-07,-9.350542562458486e-11
31,2,4,1,0.9999999999510951,0.22292960580006993,0.22292947876818925,-1.270318806811943e-07,-4.8904880145528296e-11
31,3;4,7;8,2,1.9999999998067106,5.129407315675271,5.129407149257232,-1.6641803934902555e-07,-1.932893844980299e-10
31,5,10,1,0.9999999963453515,7.915979690472275,7.91597956654209,-1.2393018522516286e-07,-3.6546484727395523e-09
31,6;7,12;13,2,1.9999999999064797,9.677889219428927,9.677889133405202,-8.602372503219158e-08,-9.352030261311484e-11
31,8,14,1,0.9999999947963236,13.997130709444825,13.997130714413952,4.969127331833079e-09,-5.203676378684463e-09
32,1,1,1,0.9999999999977087,-4.4182173803893185,-4.4182175189093025,-1.3851998392766518e-07,-2.291278278221398e-12
32,2,4,1,0.9999999998960948,0.8477125900262914,0.8477124576764199,-1.323498715066762e-07,-1.0390521776315609e-10
32,3;4,7;8,2,1.9999999996886828,5.21656161211595,5.216561445714921,-1.6640102895593145e-07,-3.113171942459303e-10
32,5,10,1,0.9999999997610436,8.012986285476414,8.012986163119253,-1.223571608477414e-07,-2.389564102145414e-10
