segment,distance_A_minus1,q1,q2,q3,f1_cm_minus1,f2_cm_minus1,f3_cm_minus1
0.000000000000000000e+00,1.769433779311232746e-01,3.500000000000000333e-01,0.000000000000000000e+00,3.500000000000000333e-01,1.904815593108637017e+02,1.904815593108640144e+02,2.935185127815097985e+02
0.000000000000000000e+00,1.832627842858062517e-01,3.625000000000000444e-01,0.000000000000000000e+00,3.625000000000000444e-01,1.939098162693247787e+02,1.939098162693250629e+02,2.990111090669619216e+02
0.000000000000000000e+00,1.895821906404892010e-01,3.750000000000000000e-01,0.000000000000000000e+00,3.750000000000000000e-01,1.970458406188199376e+02,1.970458406188202218e+02,3.040471376781250683e+02
0.000000000000000000e+00,1.959015969951721781e-01,3.875000000000000111e-01,0.000000000000000000e+00,3.875000000000000111e-01,1.998877202463321225e+02,1.998877202463324352e+02,3.086207134065726905e+02
0.000000000000000000e+00,2.022210033498551551e-01,4.000000000000000222e-01,0.000000000000000000e+00,4.000000000000000222e-01,2.024338662215327815e+02,2.024338662215329805e+02,3.127265768786965054e+02
0.000000000000000000e+00,2.085404097045381322e-01,4.125000000000000333e-01,0.000000000000000000e+00,4.125000000000000333e-01,2.046829747572869280e+02,2.046829747572871838e+02,3.163600773312195997e+02
0.000000000000000000e+00,2.148598160592211093e-01,4.250000000000000444e-01,0.000000000000000000e+00,4.250000000000000444e-01,2.066339910030358169e+02,2.066339910030360443e+02,3.195171559867410451e+02
0.000000000000000000e+00,2.211792224139040586e-01,4.375000000000000000e-01,0.000000000000000000e+00,4.375000000000000000e-01,2.082860753315763986e+02,2.082860753315766544e+02,3.221943304045357195e+02
0.000000000000000000e+00,2.274986287685870356e-01,4.500000000000000111e-01,0.000000000000000000e+00,4.500000000000000111e-01,2.096385727377212902e+02,2.096385727377215460e+02,3.243886801543393403e+02
0.000000000000000000e+00,2.338180351232700127e-01,4.625000000000000222e-01,0.000000000000000000e+00,4.625000000000000222e-01,2.106909859132042300e+02,2.106909859132044289e+02,3.260978341275265393e+02
