# ik band kdist_A-1 k1 k2 k3 energy_eV E-Ef_eV occupation charge mx my mz
2 71 0.018741886 0.010204080 0.000000000 0.000000000 2.393987640 3.882087640 0.000000000 0.543000000 -0.012000000 0.024000000 0.148000000
2 72 0.018741886 0.010204080 0.000000000 0.000000000 2.395202290 3.883302290 0.000000000 0.542000000 0.006000000 -0.016000000 -0.148000000
3 1 0.037483771 0.020408160 0.000000000 0.000000000 -36.414523980 -34.926423980 1.000000000 0.974000000 0.175000000 0.956000000 0.071000000
3 2 0.037483771 0.020408160 0.000000000 0.000000000 -36.413268030 -34.925168030 1.000000000 0.975000000 -0.175000000 -0.956000000 -0.071000000
3 3 0.037483771 0.020408160 0.000000000 0.000000000 -36.277821260 -34.789721260 1.000000000 0.978000000 0.271000000 0.921000000 0.185000000
3 4 0.037483771 0.020408160 0.000000000 0.000000000 -36.277541380 -34.789441380 1.000000000 0.978000000 -0.271000000 -0.921000000 -0.185000000
3 5 0.037483771 0.020408160 0.000000000 0.000000000 -23.936285670 -22.448185670 1.000000000 0.990000000 -0.007000000 0.006000000 0.596000000
3 6 0.037483771 0.020408160 0.000000000 0.000000000 -23.936280620 -22.448180620 1.000000000 0.990000000 -0.003000000 0.008000000 -0.596000000
3 7 0.037483771 0.020408160 0.000000000 0.000000000 -23.928973100 -22.440873100 1.000000000 0.990000000 -0.280000000 0.272000000 0.009000000
3 8 0.037483771 0.020408160 0.000000000 0.000000000 -23.928740000 -22.440640000 1.000000000 0.990000000 0.290000000 -0.286000000 -0.009000000
3 9 0.037483771 0.020408160 0.000000000 0.000000000 -22.911333430 -21.423233430 1.000000000 0.990000000 0.076000000 -0.155000000 0.015000000
3 10 0.037483771 0.020408160 0.000000000 0.000000000 -22.911008000 -21.422908000 1.000000000 0.990000000 -0.066000000 0.135000000 -0.016000000
3 11 0.037483771 0.020408160 0.000000000 0.000000000 -22.893488460 -21.405388460 1.000000000 0.991000000 0.006000000 -0.034000000 -0.587000000
3 12 0.037483771 0.020408160 0.000000000 0.000000000 -22.893466920 -21.405366920 1.000000000 0.991000000 0.019000000 -0.027000000 0.587000000
3 13 0.037483771 0.020408160 0.000000000 0.000000000 -22.890212090 -21.402112090 1.000000000 0.991000000 -0.132000000 -0.366000000 0.023000000
3 14 0.037483771 0.020408160 0.000000000 0.000000000 -22.890115240 -21.402015240 1.000000000 0.991000000 0.098000000 0.447000000 -0.023000000
3 15 0.037483771 0.020408160 0.000000000 0.000000000 -19.343734500 -17.855634500 1.000000000 0.883000000 0.328000000 -0.449000000 0.001000000
3 16 0.037483771 0.020408160 0.000000000 0.000000000 -19.337956160 -17.849856160 1.000000000 0.884000000 -0.326000000 0.448000000 -0.001000000
