ik,band,distance_inv_A,energy_eV,native_weight,pw_weight
6,5,0.485028571113,3.4881412685822824,1.0,0.999999999560529
6,6,0.485028571113,4.642393273407636,1.0,0.9999999999399002
6,7,0.485028571113,4.642393272609776,1.0,0.9999999999620179
6,8,0.485028571113,4.89110238335487,0.0,4.291075358474899e-10
6,9,0.485028571113,7.589180682802299,1.0,0.999999999966787
6,10,0.485028571113,8.667696792214867,0.0,3.3561171291571e-11
6,11,0.485028571113,9.972204057196043,1.0,0.9999999996980672
6,12,0.485028571113,10.848909938206795,0.0,4.059946148109137e-11
6,13,0.485028571113,10.945353735835095,0.0,8.663022151802279e-10
6,14,0.485028571113,11.292582804148692,1.0,0.99999999980053
6,15,0.485028571113,11.2925828040329,1.0,0.9999999991634397
6,16,0.485028571113,12.803467951265919,0.0,3.340273101877546e-10
6,17,0.485028571113,12.944846339843314,0.0,1.2281178495850831e-09
6,18,0.485028571113,13.498809484775808,0.999998,0.9999999988732591
6,19,0.485028571113,14.842068916970131,1.0,0.9999999998869636
6,20,0.485028571113,15.808524034991757,0.0,1.268417702652421e-09
6,21,0.485028571113,16.67313739267062,0.999999,0.999999998661508
6,22,0.485028571113,18.22803874252173,1e-06,8.112205965227362e-10
6,23,0.485028571113,18.73925225757671,1.0,0.9999999981818017
6,24,0.485028571113,18.739252258758928,1.0,0.9999999999529624
7,1,0.582034285335,-4.721880548939719,1.0,0.9999999999426035
7,2,0.582034285335,-3.7387118101125787,0.0,3.263227714816784e-11
7,3,0.582034285335,0.7415092034982693,0.0,1.4189363135583735e-10
7,4,0.582034285335,2.3904230344124056,0.0,9.330545781752639e-11
7,5,0.582034285335,2.740575001501778,1.0,0.999999999902513
7,6,0.582034285335,4.3058342354840535,1.0,0.9999999998528976
7,7,0.582034285335,4.3058342350969445,1.0,0.999999999968044
7,8,0.582034285335,4.882737732592295,0.0,9.955021383234094e-11
7,9,0.582034285335,7.3072482803008,1.0,0.9999999998985051
7,10,0.582034285335,8.659515166419288,0.0,7.382836421838625e-11
7,11,0.582034285335,9.31699994923022,1.0,0.999999999906518
7,12,0.582034285335,11.04604871658453,0.0,3.816357401871833e-11
7,13,0.582034285335,11.335586942187637,0.0,9.735279198972492e-11
7,14,0.582034285335,12.016327011944641,1.0,0.9999999999834215
7,15,0.582034285335,12.016327012238227,1.0,0.9999999998170231
7,16,0.582034285335,12.38079271260621,1e-06,2.8083679554334716e-10
7,17,0.582034285335,12.667664727372827,0.0,2.3144464232460618e-11
7,18,0.582034285335,14.313654220095765,0.999998,0.9999999998057864
7,19,0.582034285335,15.213148733829216,1.0,0.9999999985191096
7,20,0.582034285335,15.86929935249071,0.0,1.502404689581244e-09
7,21,0.582034285335,17.551089710775255,0.999999,0.9999999999475048
7,22,0.582034285335,18.783599252206717,1e-06,2.460110756380926e-10
7,23,0.582034285335,19.226966158973788,0.999999,0.9999999922475956
7,24,0.582034285335,19.226966161603954,0.999999,0.9999999817481267
8,1,0.679039999558,-4.331627600925521,1.0,0.9999999999997938
8,2,0.679039999558,-3.721617462737297,0.0,2.6106159994520858e-14
8,3,0.679039999558,0.5567910206540215,0.0,1.0324945303169046e-10
8,4,0.679039999558,1.9870468339645997,1.0,0.999999999855572
8,5,0.679039999558,2.6201094824276248,0.0,4.4370720115605476e-11
8,6,0.679039999558,4.01310320715229,1.0,0.999999999941951
8,7,0.679039999558,4.013103207112643,1.0,0.9999999999822071
8,8,0.679039999558,4.891102383845112,0.0,1.1426055251913656e-10
8,9,0.679039999558,7.070834977133897,1.0,0.9999999999148195
8,10,0.679039999558,8.66769679215959,0.0,5.427818772954972e-11
8,11,0.679039999558,8.697550522760059,1.0,0.9999999999320895
8,12,0.679039999558,10.8489099368289,0.0,3.0390226320331275e-11
8,13,0.679039999558,10.945353733594922,0.0,5.278456785637944e-11
8,14,0.679039999558,12.761394372388398,0.999999,0.9999999999643707
8,15,0.679039999558,12.76139437311631,0.999999,0.9999999999428056
8,16,0.679039999558,12.803467953285683,1e-06,1.0399433953515235e-10
8,17,0.679039999558,12.944846341245633,0.0,1.1582113925053867e-11
8,18,0.679039999558,15.183924524272733,0.999997,0.9999999997474707
8,19,0.679039999558,15.650813003408654,0.999999,0.999999963881357
8,20,0.679039999558,15.808524028144063,0.0,3.635309993370311e-08
8,21,0.679039999558,18.22803874384011,1e-06,7.94787192949049e-09
8,22,0.679039999558,18.434510672471482,0.999999,0.9999999920291048
8,23,0.679039999558,19.301869975922788,1e-06,4.305379792283532e-09
8,24,0.679039999558,19.635930777275522,0.999999,0.9999999963613326
9,1,0.776045713781,-3.8860950839584905,1.0,0.9999999999997907
9,2,0.776045713781,-3.672835913402719,0.0,1.8038329098676587e-13
9,3,0.776045713781,0.1792605465450646,0.0,3.3831992496246427e-14
9,4,0.776045713781,1.2353945735330003,1.0,0.9999999999999593
9,5,0.776045713781,3.1306246025210607,0.0,3.926999281104372e-14
9,6,0.776045713781,3.7690992007765587,1.0,0.9999999999999761
9,7,0.776045713781,3.7690992016757017,1.0,0.9999999999999407
9,8,0.776045713781,4.914362453570681,0.0,1.170270145036357e-13
9,9,0.776045713781,6.890399248220116,1.0,0.9999999999999086
9,10,0.776045713781,8.152073802770419,1.0,0.9999999999994547
9,11,0.776045713781,8.672980478274317,0.0,2.473015620140303e-13
9,12,0.776045713781,10.335984174006176,1e-06,1.951878597160055e-14
9,13,0.776045713781,10.468472207949223,0.0,1.148171376520283e-14
9,14,0.776045713781,13.507653684548275,1e-06,5.335429637108742e-11
9,15,0.776045713781,13.523263194733534,0.999999,0.9999999999862486
9,16,0.776045713781,13.5232631953039,0.999999,0.9999999999458419
9,17,0.776045713781,13.566860018307295,0.0,1.9123988003514984e-12
9,18,0.776045713781,15.607275665884776,0.0,5.694386543600143e-12
9,19,0.776045713781,16.064589094271238,0.999997,0.9999999999852427
9,20,0.776045713781,16.154855482493176,0.999999,0.9999999999701498
9,21,0.776045713781,17.65411345864918,1e-06,1.1530456698626092e-11
9,22,0.776045713781,19.025954112963912,1e-06,6.473357259470776e-10
