# z_A  planar_potential_eV
14.1613441714 3.304418867985
14.2269059500 3.304774686747
14.2924677286 3.305016571564
14.3580295071 3.305266746434
14.4235912857 3.305422963350
14.4891530643 3.305601077490
14.5547148429 3.305699163559
14.6202766214 3.305828054155
14.6858384000 3.305886724113
14.7514001786 3.305981984176
14.8169619571 3.306014013928
14.8825237357 3.306086269162
14.9480855143 3.306100333778
15.0136472929 3.306156815471
15.0792090714 3.306158770965
15.1447708500 3.306204427687
15.2103326286 3.306198300201
15.2758944071 3.306236488057
15.3414561857 3.306224964592
15.4070179643 3.306257973835
15.4725797429 3.306242872546
15.5381415214 3.306272267974
15.6037033000 3.306254833059
15.6692650786 3.306281713281
15.7348268571 3.306262798244
15.8003886357 3.306287944970
15.8659504143 3.306268373675
15.9315121929 3.306292435826
15.9970739714 3.306272295083
16.0626357500 3.306295400642
16.1281975286 3.306274941090
16.1937593071 3.306297355606
16.2593210857 3.306276731451
16.3248828643 3.306298637202
16.3904446429 3.306278205620
16.4560064214 3.306299958752
16.5215682000 3.306279557546
16.5871299786 3.306300965146
16.6526917571 3.306280591763
16.7182535357 3.306301714417
16.7838153143 3.306281405849
16.8493770929 3.306302308721
16.9149388714 3.306282089646
16.9805006500 3.306302811229
17.0460624286 3.306282665762
17.1116242071 3.306303218285
17.1771859857 3.306283148769
17.2427477643 3.306303569758
17.3083095429 3.306283585935
17.3738713214 3.306303882677
17.4394331000 3.306283940856
17.5049948786 3.306304124090
17.5705566571 3.306284231077
17.6361184357 3.306304312590
17.7016802143 3.306284484903
17.7672419929 3.306304519205
17.8328037714 3.306284728240
17.8983655500 3.306304684781
17.9639273286 3.306284887460
18.0294891071 3.306304773164
18.0950508857 3.306284978411
18.1606126643 3.306304820274
18.2261744429 3.306285038009
18.2917362214 3.306304853416
