ik,iband,path_distance_tpiba,kx_tpiba,ky_tpiba,kz_tpiba,energy_eV,Si_s_weight,Si_p_weight,projection_norm
14,5,0.5416666666666666,0.5416666666666666,0.0,0.0,7.387388162413019,0.2911914964314186,0.6521383852976318,0.9433298817290504
14,6,0.5416666666666666,0.5416666666666666,0.0,0.0,9.210959600261484,0.24485096813280371,0.26013411203315534,0.504985080165959
14,7,0.5416666666666666,0.5416666666666666,0.0,0.0,12.589845978947372,1.0911892957111993e-10,0.8447935608464101,0.844793560955529
14,8,0.5416666666666666,0.5416666666666666,0.0,0.0,12.589845978111265,6.296625729535263e-11,0.8447930927531655,0.8447930928161318
15,1,0.5833333333333333,0.5833333333333333,0.0,0.0,-4.203534582439724,0.6650890000806069,0.3297369572734253,0.9948259573540321
15,2,0.5833333333333333,0.5833333333333333,0.0,0.0,2.1231552861065905,0.45617519521151195,0.531723506801098,0.98789870201261
15,3,0.5833333333333333,0.5833333333333333,0.0,0.0,4.178950154707478,1.6112856855079573e-10,0.9913065396640028,0.9913065398251314
15,4,0.5833333333333333,0.5833333333333333,0.0,0.0,4.17895015535576,3.2445383283057933e-10,0.9913068169198656,0.9913068172443193
15,5,0.5833333333333333,0.5833333333333333,0.0,0.0,7.2769846875096915,0.30600626252992247,0.6331257608313718,0.9391320233612943
15,6,0.5833333333333333,0.5833333333333333,0.0,0.0,8.909378880487333,0.25069226300343894,0.2781718093622186,0.5288640723656575
15,7,0.5833333333333333,0.5833333333333333,0.0,0.0,12.969705222978781,2.5069563911389325e-10,0.826579801137894,0.8265798013885897
15,8,0.5833333333333333,0.5833333333333333,0.0,0.0,12.969705223123658,4.244944516304436e-11,0.826580172083185,0.8265801721256345
16,1,0.625,0.625,0.0,0.0,-3.987654186611164,0.6488876441831498,0.3457624724451606,0.9946501166283104
16,2,0.625,0.625,0.0,0.0,1.7447579323342246,0.47034635002185293,0.5185797846189626,0.9889261346408156
16,3,0.625,0.625,0.0,0.0,4.050901484902865,2.022601393532596e-10,0.9920548477038942,0.9920548479061543
16,4,0.625,0.625,0.0,0.0,4.050901485767722,2.0346457119454644e-10,0.9920550963792103,0.9920550965826749
16,5,0.625,0.625,0.0,0.0,7.180408572386268,0.31842133090245284,0.6158614053076518,0.9342827362101046
16,6,0.625,0.625,0.0,0.0,8.626703862714212,0.2594188518632304,0.29859342695188534,0.5580122788151157
16,7,0.625,0.625,0.0,0.0,13.353954010240336,1.7738032109808207e-10,0.8069804319726477,0.806980432150028
16,8,0.625,0.625,0.0,0.0,13.353954010077516,2.0711698038831378e-10,0.8069806321037464,0.8069806323108634
17,1,0.6666666666666666,0.6666666666666666,0.0,0.0,-3.758246569428808,0.634481886677538,0.3599868007749091,0.9944686874524471
17,2,0.6666666666666666,0.6666666666666666,0.0,0.0,1.3679625667520505,0.48317574834382204,0.5066110055496567,0.9897867538934787
17,3,0.6666666666666666,0.6666666666666666,0.0,0.0,3.9354743514781325,1.3865948582283295e-10,0.9926560358627063,0.9926560360013659
17,4,0.6666666666666666,0.6666666666666666,0.0,0.0,3.935474352883185,2.755171845184754e-10,0.992656167762132,0.9926561680376491
17,5,0.6666666666666666,0.6666666666666666,0.0,0.0,7.098695894603436,0.32857618341846695,0.6000680444233624,0.9286442278418293
17,6,0.6666666666666666,0.6666666666666666,0.0,0.0,8.364803096419125,0.26985433496659994,0.32066785634133793,0.5905221913079379
17,7,0.6666666666666666,0.6666666666666666,0.0,0.0,13.742230253249199,1.5513095705703401e-10,0.7862624628594697,0.7862624630146006
17,8,0.6666666666666666,0.6666666666666666,0.0,0.0,13.74223025417391,9.174894908403126e-11,0.7862617754580454,0.7862617755497944
18,1,0.7083333333333333,0.7083333333333333,0.0,0.0,-3.515624737797595,0.6216524603887524,0.37263072859291707,0.9942831889816695
18,2,0.7083333333333333,0.7083333333333333,0.0,0.0,0.9936663466008181,0.4948739576887876,0.49562333326135927,0.9904972909501468
18,3,0.7083333333333333,0.7083333333333333,0.0,0.0,3.8329958280677023,4.592987974752258e-11,0.9931322080035038,0.9931322080494337
