kx_tpiba,ky_tpiba,kz_tpiba,kx_inv_A,ky_inv_A,kz_inv_A,band5_eV
0.77,0.08,-0.04,0.8963327994514808,0.09312548565729671,-0.046562742828648356,7.1550549188818175
0.77,0.08,-0.02,0.8963327994514808,0.09312548565729671,-0.023281371414324178,7.1397845733941425
0.77,0.08,0.0,0.8963327994514808,0.09312548565729671,0.0,7.1348033541484295
0.77,0.08,0.02,0.8963327994514808,0.09312548565729671,0.023281371414324178,7.139784573394187
0.77,0.08,0.04,0.8963327994514808,0.09312548565729671,0.046562742828648356,7.1550549188818575
0.77,0.08,0.06,0.8963327994514808,0.09312548565729671,0.06984411424297253,7.181464144893525
0.77,0.08,0.08,0.8963327994514808,0.09312548565729671,0.09312548565729671,7.220077702669991
0.79,-0.08,-0.08,0.919614170865805,-0.09312548565729671,-0.09312548565729671,7.198701563201607
0.79,-0.08,-0.06,0.919614170865805,-0.09312548565729671,-0.06984411424297253,7.162681107222038
0.79,-0.08,-0.04,0.919614170865805,-0.09312548565729671,-0.046562742828648356,7.1385524780869565
0.79,-0.08,-0.02,0.919614170865805,-0.09312548565729671,-0.023281371414324178,7.124872166998706
0.79,-0.08,0.0,0.919614170865805,-0.09312548565729671,0.0,7.120464475393665
0.79,-0.08,0.02,0.919614170865805,-0.09312548565729671,0.023281371414324178,7.1248721669987605
0.79,-0.08,0.04,0.919614170865805,-0.09312548565729671,0.046562742828648356,7.138552478087014
0.79,-0.08,0.06,0.919614170865805,-0.09312548565729671,0.06984411424297253,7.162681107222128
0.79,-0.08,0.08,0.919614170865805,-0.09312548565729671,0.09312548565729671,7.198701563201637
0.79,-0.06,-0.08,0.919614170865805,-0.06984411424297253,-0.09312548565729671,7.162681107222014
0.79,-0.06,-0.06,0.919614170865805,-0.06984411424297253,-0.06984411424297253,7.112208990611135
0.79,-0.06,-0.04,0.919614170865805,-0.06984411424297253,-0.046562742828648356,7.07635963626403
0.79,-0.06,-0.02,0.919614170865805,-0.06984411424297253,-0.023281371414324178,7.054970625609354
0.79,-0.06,0.0,0.919614170865805,-0.06984411424297253,0.0,7.047865941820574
0.79,-0.06,0.02,0.919614170865805,-0.06984411424297253,0.023281371414324178,7.054970625609468
0.79,-0.06,0.04,0.919614170865805,-0.06984411424297253,0.046562742828648356,7.076359636264008
0.79,-0.06,0.06,0.919614170865805,-0.06984411424297253,0.06984411424297253,7.112208990611172
0.79,-0.06,0.08,0.919614170865805,-0.06984411424297253,0.09312548565729671,7.162681107222077
0.79,-0.04,-0.08,0.919614170865805,-0.046562742828648356,-0.09312548565729671,7.138552478087014
0.79,-0.04,-0.06,0.919614170865805,-0.046562742828648356,-0.06984411424297253,7.0763596362640335
0.79,-0.04,-0.04,0.919614170865805,-0.046562742828648356,-0.046562742828648356,7.031223470535392
