distance_Ainv,E1_eV,E2_eV,E3_eV,E4_eV,E1_minus_VBM_eV,E2_minus_VBM_eV,E3_minus_VBM_eV,E4_minus_VBM_eV
8.876022900000000160e-01,-3.213398699999999941e+00,5.629546699999999904e-01,3.730184700000000131e+00,3.730196999999999985e+00,-9.599437943384316441e+00,-5.823084573384316620e+00,-2.655854543384316369e+00,-2.655842243384316514e+00
9.021531499999999593e-01,-3.136096000000000217e+00,4.568907600000000069e-01,3.707890499999999978e+00,3.707904099999999925e+00,-9.522135243384315828e+00,-5.929148483384316215e+00,-2.678148743384316521e+00,-2.678135143384316574e+00
9.167039999999999633e-01,-3.057414399999999866e+00,3.502389399999999986e-01,3.686384900000000187e+00,3.686399699999999946e+00,-9.443453643384316365e+00,-6.035800303384316834e+00,-2.699654343384316313e+00,-2.699639543384316553e+00
9.312548600000000176e-01,-2.977311700000000005e+00,2.430128400000000077e-01,3.665694300000000183e+00,3.665710100000000082e+00,-9.363350943384316949e+00,-6.143026403384316936e+00,-2.720344943384316316e+00,-2.720329143384316417e+00
9.458057199999999609e-01,-2.895748799999999790e+00,1.352428699999999873e-01,3.645853600000000139e+00,3.645870299999999897e+00,-9.281788043384317177e+00,-6.250796373384316595e+00,-2.740185643384316361e+00,-2.740168943384316602e+00
9.603565800000000152e-01,-2.812690299999999866e+00,2.697541599999999859e-02,3.626905300000000221e+00,3.626922400000000213e+00,-9.198729543384317253e+00,-6.359063827384316525e+00,-2.759133943384316279e+00,-2.759116843384316287e+00
9.749074300000000193e-01,-2.728105400000000014e+00,-8.172817699999999908e-02,3.608897999999999939e+00,3.608915399999999885e+00,-9.114144643384316069e+00,-6.467767420384316068e+00,-2.777141243384316560e+00,-2.777123843384316615e+00
9.894582899999999626e-01,-2.641969200000000129e+00,-1.907928899999999928e-01,3.591886000000000134e+00,3.591903299999999799e+00,-9.028008443384315740e+00,-6.576832133384316492e+00,-2.794153243384316365e+00,-2.794135943384316700e+00
1.004009099999999988e+00,-2.554262800000000055e+00,-3.001314999999999955e-01,3.575927500000000148e+00,3.575944499999999859e+00,-8.940302043384317443e+00,-6.686170743384316495e+00,-2.810111743384316352e+00,-2.810094743384316640e+00
1.018559999999999910e+00,-2.464974900000000080e+00,-4.096461699999999762e-01,3.561083399999999788e+00,3.561099800000000037e+00,-8.851014143384317023e+00,-6.795685413384316753e+00,-2.824955843384316712e+00,-2.824939443384316462e+00
1.033110900000000054e+00,-2.374102199999999829e+00,-5.192302100000000253e-01,3.547415599999999891e+00,3.547431099999999837e+00,-8.760141443384316773e+00,-6.905269453384316414e+00,-2.838623643384316608e+00,-2.838608143384316662e+00
1.047661699999999918e+00,-2.281649600000000166e+00,-6.287698999999999927e-01,3.534986099999999798e+00,3.535000500000000212e+00,-8.667688843384317110e+00,-7.014809143384316492e+00,-2.851053143384316702e+00,-2.851038743384316287e+00
