q_index,qx,qy,qz,star_weight,sigma_Ry,mode,frequency_THz,frequency_cm1,lambda_mode,gamma_GHz,DOS_EF_states_spin_Ry_cell,EF_eV
3,0.3535534,-0.3535534,0.3535534,4,0.045,1,4.570078,152.441395,0.0921,4.87,2.650827,8.372817
3,0.3535534,-0.3535534,0.3535534,4,0.045,2,4.570078,152.441395,0.0939,4.97,2.650827,8.372817
3,0.3535534,-0.3535534,0.3535534,4,0.045,3,9.936574,331.448433,0.176,43.99,2.650827,8.372817
3,0.3535534,-0.3535534,0.3535534,4,0.05,1,4.570078,152.441395,0.0921,4.87,2.653067,8.370889
3,0.3535534,-0.3535534,0.3535534,4,0.05,2,4.570078,152.441395,0.0937,4.96,2.653067,8.370889
3,0.3535534,-0.3535534,0.3535534,4,0.05,3,9.936574,331.448433,0.1756,43.93,2.653067,8.370889
4,0.0,0.3535534,0.0,6,0.005,1,4.514767,150.596422,0.0275,1.35,2.518161,8.37364
4,0.0,0.3535534,0.0,6,0.005,2,4.514767,150.596422,0.0275,1.35,2.518161,8.37364
4,0.0,0.3535534,0.0,6,0.005,3,7.531338,251.218399,0.2266,30.91,2.518161,8.37364
4,0.0,0.3535534,0.0,6,0.01,1,4.514767,150.596422,0.0899,4.59,2.624685,8.377216
4,0.0,0.3535534,0.0,6,0.01,2,4.514767,150.596422,0.0899,4.59,2.624685,8.377216
4,0.0,0.3535534,0.0,6,0.01,3,7.531338,251.218399,0.2636,37.48,2.624685,8.377216
4,0.0,0.3535534,0.0,6,0.015,1,4.514767,150.596422,0.0965,4.97,2.647439,8.379158
4,0.0,0.3535534,0.0,6,0.015,2,4.514767,150.596422,0.0965,4.97,2.647439,8.379158
4,0.0,0.3535534,0.0,6,0.015,3,7.531338,251.218399,0.2542,36.45,2.647439,8.379158
4,0.0,0.3535534,0.0,6,0.02,1,4.514767,150.596422,0.0978,5.03,2.646097,8.379914
4,0.0,0.3535534,0.0,6,0.02,2,4.514767,150.596422,0.0978,5.03,2.646097,8.379914
4,0.0,0.3535534,0.0,6,0.02,3,7.531338,251.218399,0.2395,34.33,2.646097,8.379914
4,0.0,0.3535534,0.0,6,0.025,1,4.514767,150.596422,0.1012,5.21,2.643523,8.379582
4,0.0,0.3535534,0.0,6,0.025,2,4.514767,150.596422,0.1012,5.21,2.643523,8.379582
4,0.0,0.3535534,0.0,6,0.025,3,7.531338,251.218399,0.2327,33.31,2.643523,8.379582
4,0.0,0.3535534,0.0,6,0.03,1,4.514767,150.596422,0.1066,5.49,2.643829,8.37839
